gene_id,gene_length,GC_length,GC_prop
ENSAMXG00000000091,1392,669,0.480603448
ENSAMXG00000000092,504,236,0.468253968
ENSAMXG00000000093,750,368,0.490666667
ENSAMXG00000000094,672,392,0.583333333
ENSAMXG00000000095,1863,1032,0.55394525
ENSAMXG00000000096,1215,643,0.529218107
ENSAMXG00000000097,1836,919,0.500544662
ENSAMXG00000000098,1545,752,0.486731392
ENSAMXG00000000099,1155,694,0.600865801
ENSAMXG00000000100,3726,1999,0.536500268
ENSAMXG00000000101,858,511,0.595571096
ENSAMXG00000000102,696,408,0.586206897
ENSAMXG00000000103,1437,878,0.610995129
ENSAMXG00000000104,570,287,0.503508772
ENSAMXG00000000105,1206,577,0.478441128
ENSAMXG00000000106,4485,2695,0.600891862
ENSAMXG00000000107,2130,1000,0.469483568
ENSAMXG00000000108,1380,670,0.485507246
ENSAMXG00000000109,1599,744,0.465290807
ENSAMXG00000000110,2937,1490,0.507320395
ENSAMXG00000000111,333,159,0.477477477
ENSAMXG00000000112,1836,878,0.478213508
ENSAMXG00000000113,591,324,0.54822335
ENSAMXG00000000114,2559,1156,0.451738961
ENSAMXG00000000115,1971,943,0.478437341
ENSAMXG00000000116,1119,517,0.46201966
ENSAMXG00000000117,1827,879,0.481116585
ENSAMXG00000000118,1062,509,0.479284369
ENSAMXG00000000119,1185,530,0.447257384
ENSAMXG00000000120,873,410,0.469644903
ENSAMXG00000000121,870,417,0.479310345
ENSAMXG00000000122,657,320,0.487062405
ENSAMXG00000000123,4032,1724,0.427579365
ENSAMXG00000000124,990,502,0.507070707
ENSAMXG00000000125,1299,676,0.520400308
ENSAMXG00000000126,789,406,0.514575412
ENSAMXG00000000127,657,292,0.444444444
ENSAMXG00000000128,414,188,0.45410628
ENSAMXG00000000129,930,568,0.610752688
ENSAMXG00000000130,828,410,0.495169082
ENSAMXG00000000131,2529,1269,0.501779359
ENSAMXG00000000132,1668,742,0.444844125
ENSAMXG00000000133,459,219,0.477124183
ENSAMXG00000000134,1536,746,0.485677083
ENSAMXG00000000135,2853,1601,0.561163687
ENSAMXG00000000136,381,205,0.538057743
ENSAMXG00000000137,897,463,0.516164994
ENSAMXG00000000138,1083,484,0.446906741
ENSAMXG00000000139,1347,669,0.496659243
ENSAMXG00000000140,1134,560,0.49382716
ENSAMXG00000000141,966,537,0.555900621
ENSAMXG00000000142,2031,1208,0.594780896
ENSAMXG00000000143,2256,1254,0.555851064
ENSAMXG00000000144,579,258,0.445595855
ENSAMXG00000000145,3522,1529,0.434128336
ENSAMXG00000000146,1512,726,0.48015873
ENSAMXG00000000147,825,450,0.545454545
ENSAMXG00000000148,141,75,0.531914894
ENSAMXG00000000149,1848,912,0.493506494
ENSAMXG00000000150,1956,1052,0.537832311
ENSAMXG00000000151,9312,3794,0.407431271
ENSAMXG00000000152,1539,733,0.476283301
ENSAMXG00000000153,1557,863,0.554271034
ENSAMXG00000000154,8010,3992,0.498377029
ENSAMXG00000000155,4542,2371,0.522016733
ENSAMXG00000000156,1407,695,0.493958778
ENSAMXG00000000157,1749,903,0.516295026
ENSAMXG00000000158,819,441,0.538461538
ENSAMXG00000000159,3906,1980,0.506912442
ENSAMXG00000000160,2430,1386,0.57037037
ENSAMXG00000000161,1956,930,0.475460123
ENSAMXG00000000162,1122,574,0.511586453
ENSAMXG00000000163,1476,744,0.504065041
ENSAMXG00000000164,2457,1395,0.567765568
ENSAMXG00000000165,2238,1119,0.5
ENSAMXG00000000166,393,219,0.557251908
ENSAMXG00000000167,945,493,0.521693122
ENSAMXG00000000168,582,325,0.558419244
ENSAMXG00000000169,279,171,0.612903226
ENSAMXG00000000170,933,527,0.564844587
ENSAMXG00000000171,975,489,0.501538462
ENSAMXG00000000172,2172,1098,0.505524862
ENSAMXG00000000173,765,394,0.51503268
ENSAMXG00000000174,996,556,0.558232932
ENSAMXG00000000175,708,396,0.559322034
ENSAMXG00000000176,2688,1469,0.546502976
ENSAMXG00000000177,1026,599,0.583820663
ENSAMXG00000000178,582,315,0.541237113
ENSAMXG00000000179,4917,2371,0.482204596
ENSAMXG00000000180,2784,1290,0.463362069
ENSAMXG00000000181,1026,549,0.535087719
ENSAMXG00000000182,567,296,0.522045855
ENSAMXG00000000183,2286,1263,0.552493438
ENSAMXG00000000184,1185,595,0.502109705
ENSAMXG00000000185,1809,1018,0.562741846
ENSAMXG00000000186,1308,735,0.561926606
ENSAMXG00000000187,3879,1889,0.486981181
ENSAMXG00000000188,2589,1376,0.531479336
ENSAMXG00000000189,1911,1056,0.552590267
ENSAMXG00000000190,1560,746,0.478205128
ENSAMXG00000000191,429,195,0.454545455
ENSAMXG00000000192,816,419,0.513480392
ENSAMXG00000000193,1488,743,0.499327957
ENSAMXG00000000194,636,322,0.506289308
ENSAMXG00000000195,1290,687,0.53255814
ENSAMXG00000000196,153,82,0.535947712
ENSAMXG00000000197,1260,572,0.453968254
ENSAMXG00000000198,2343,1236,0.527528809
ENSAMXG00000000199,1404,660,0.47008547
ENSAMXG00000000200,537,268,0.499068901
ENSAMXG00000000201,207,91,0.439613527
ENSAMXG00000000202,1116,584,0.523297491
ENSAMXG00000000203,1479,706,0.477349561
ENSAMXG00000000204,849,420,0.494699647
ENSAMXG00000000205,1050,548,0.521904762
ENSAMXG00000000206,1464,735,0.50204918
ENSAMXG00000000207,4737,2317,0.48912814
ENSAMXG00000000208,1071,526,0.491129785
ENSAMXG00000000209,639,331,0.51799687
ENSAMXG00000000210,1308,639,0.48853211
ENSAMXG00000000211,1614,723,0.44795539
ENSAMXG00000000212,363,169,0.465564738
ENSAMXG00000000213,8118,3991,0.491623553
ENSAMXG00000000214,375,155,0.413333333
ENSAMXG00000000215,2613,1286,0.492154612
ENSAMXG00000000216,1242,583,0.469404187
ENSAMXG00000000217,1995,1055,0.528822055
ENSAMXG00000000218,378,235,0.621693122
ENSAMXG00000000219,582,295,0.506872852
ENSAMXG00000000220,2289,1129,0.493228484
ENSAMXG00000000221,1842,888,0.482084691
ENSAMXG00000000222,330,157,0.475757576
ENSAMXG00000000223,2358,1014,0.430025445
ENSAMXG00000000224,300,146,0.486666667
ENSAMXG00000000225,810,369,0.455555556
ENSAMXG00000000226,546,242,0.443223443
ENSAMXG00000000227,261,112,0.429118774
ENSAMXG00000000228,543,253,0.465930018
ENSAMXG00000000229,1347,668,0.495916852
ENSAMXG00000000230,1170,646,0.552136752
ENSAMXG00000000231,381,201,0.527559055
ENSAMXG00000000232,1467,674,0.459441036
ENSAMXG00000000233,1164,537,0.461340206
ENSAMXG00000000234,1770,864,0.488135593
ENSAMXG00000000235,1170,580,0.495726496
ENSAMXG00000000236,690,317,0.45942029
ENSAMXG00000000237,2127,1074,0.50493653
ENSAMXG00000000238,231,143,0.619047619
ENSAMXG00000000239,2505,1254,0.500598802
ENSAMXG00000000240,1278,742,0.580594679
ENSAMXG00000000241,765,396,0.517647059
ENSAMXG00000000242,405,220,0.543209877
ENSAMXG00000000243,1788,942,0.526845638
ENSAMXG00000000244,876,515,0.587899543
ENSAMXG00000000245,1950,862,0.442051282
ENSAMXG00000000246,1107,599,0.541102078
ENSAMXG00000000247,3759,2020,0.537376962
ENSAMXG00000000248,429,197,0.459207459
ENSAMXG00000000249,216,129,0.597222222
ENSAMXG00000000250,228,107,0.469298246
ENSAMXG00000000251,369,178,0.482384824
ENSAMXG00000000252,1851,1022,0.552133982
ENSAMXG00000000253,3786,2082,0.549920761
ENSAMXG00000000254,2685,1431,0.532960894
ENSAMXG00000000255,891,493,0.553310887
ENSAMXG00000000256,1230,637,0.517886179
ENSAMXG00000000257,1416,745,0.526129944
ENSAMXG00000000258,393,194,0.493638677
ENSAMXG00000000259,489,254,0.519427403
ENSAMXG00000000260,450,210,0.466666667
ENSAMXG00000000261,309,175,0.566343042
ENSAMXG00000000262,426,242,0.568075117
ENSAMXG00000000263,1248,716,0.573717949
ENSAMXG00000000264,555,282,0.508108108
ENSAMXG00000000265,240,121,0.504166667
ENSAMXG00000000266,1677,955,0.56946929
ENSAMXG00000000267,1764,916,0.519274376
ENSAMXG00000000268,3489,1687,0.483519633
ENSAMXG00000000269,837,433,0.517323775
ENSAMXG00000000270,231,105,0.454545455
ENSAMXG00000000271,927,438,0.472491909
ENSAMXG00000000272,738,369,0.5
ENSAMXG00000000273,4395,2318,0.52741752
ENSAMXG00000000274,1446,725,0.501383126
ENSAMXG00000000275,2151,1020,0.474198047
ENSAMXG00000000276,531,236,0.444444444
ENSAMXG00000000277,1428,731,0.511904762
ENSAMXG00000000278,774,388,0.50129199
ENSAMXG00000000279,591,328,0.55499154
ENSAMXG00000000280,366,175,0.478142077
ENSAMXG00000000281,1329,705,0.530474041
ENSAMXG00000000282,633,330,0.521327014
ENSAMXG00000000283,3720,2096,0.56344086
ENSAMXG00000000284,1176,682,0.579931973
ENSAMXG00000000285,909,488,0.536853685
ENSAMXG00000000286,2235,1184,0.529753915
ENSAMXG00000000287,672,279,0.415178571
ENSAMXG00000000288,1686,923,0.547449585
ENSAMXG00000000289,2730,1340,0.490842491
ENSAMXG00000000290,2553,1213,0.475127301
ENSAMXG00000000291,1398,746,0.533619456
ENSAMXG00000000292,2724,1200,0.440528634
ENSAMXG00000000293,654,372,0.568807339
ENSAMXG00000000294,1347,721,0.535263549
ENSAMXG00000000295,954,453,0.474842767
ENSAMXG00000000296,216,113,0.523148148
ENSAMXG00000000297,1143,673,0.5888014
ENSAMXG00000000298,1416,703,0.496468927
ENSAMXG00000000299,897,457,0.509476031
ENSAMXG00000000300,3648,1765,0.483826754
ENSAMXG00000000301,1830,885,0.483606557
ENSAMXG00000000302,1887,966,0.511923688
ENSAMXG00000000303,1452,762,0.524793388
ENSAMXG00000000304,876,553,0.631278539
ENSAMXG00000000305,1293,657,0.50812065
ENSAMXG00000000306,1047,555,0.53008596
ENSAMXG00000000307,1209,649,0.536807279
ENSAMXG00000000308,1938,841,0.433952528
ENSAMXG00000000309,996,519,0.521084337
ENSAMXG00000000310,486,266,0.547325103
ENSAMXG00000000311,1245,655,0.526104418
ENSAMXG00000000312,2613,1319,0.504783773
ENSAMXG00000000313,1344,780,0.580357143
ENSAMXG00000000314,8772,4020,0.458276334
ENSAMXG00000000315,825,341,0.413333333
ENSAMXG00000000316,1098,520,0.473588342
ENSAMXG00000000317,1353,794,0.58684405
ENSAMXG00000000318,2112,1001,0.473958333
ENSAMXG00000000319,4761,2504,0.525939929
ENSAMXG00000000320,1200,538,0.448333333
ENSAMXG00000000321,255,126,0.494117647
ENSAMXG00000000322,987,463,0.469098278
ENSAMXG00000000323,624,273,0.4375
ENSAMXG00000000324,1731,972,0.56152513
ENSAMXG00000000325,612,287,0.468954248
ENSAMXG00000000326,5124,2532,0.494145199
ENSAMXG00000000327,819,428,0.522588523
ENSAMXG00000000328,846,361,0.426713948
ENSAMXG00000000329,1533,826,0.538812785
ENSAMXG00000000330,1380,753,0.545652174
ENSAMXG00000000331,819,488,0.595848596
ENSAMXG00000000332,2775,1612,0.580900901
ENSAMXG00000000333,1953,965,0.494111623
ENSAMXG00000000334,2103,937,0.445553971
ENSAMXG00000000335,942,559,0.593418259
ENSAMXG00000000336,1575,903,0.573333333
ENSAMXG00000000337,228,104,0.456140351
ENSAMXG00000000338,2826,1583,0.560155697
ENSAMXG00000000339,279,116,0.415770609
ENSAMXG00000000340,753,415,0.551128818
ENSAMXG00000000341,897,559,0.623188406
ENSAMXG00000000342,1086,559,0.514732965
ENSAMXG00000000343,495,268,0.541414141
ENSAMXG00000000344,603,344,0.570480929
ENSAMXG00000000345,441,225,0.510204082
ENSAMXG00000000346,1848,894,0.483766234
ENSAMXG00000000347,852,389,0.45657277
ENSAMXG00000000348,2436,1256,0.515599343
ENSAMXG00000000349,2199,1117,0.507958163
ENSAMXG00000000350,3309,1673,0.505590813
ENSAMXG00000000351,1260,665,0.527777778
ENSAMXG00000000352,1260,608,0.482539683
ENSAMXG00000000353,1089,546,0.50137741
ENSAMXG00000000354,885,391,0.44180791
ENSAMXG00000000355,4545,2467,0.542794279
ENSAMXG00000000356,9426,5092,0.540207935
ENSAMXG00000000357,807,397,0.491945477
ENSAMXG00000000358,2790,1535,0.550179211
ENSAMXG00000000359,507,263,0.518737673
ENSAMXG00000000360,1566,817,0.521711367
ENSAMXG00000000361,336,147,0.4375
ENSAMXG00000000362,324,176,0.543209877
ENSAMXG00000000363,1680,908,0.54047619
ENSAMXG00000000364,351,163,0.464387464
ENSAMXG00000000365,1245,709,0.569477912
ENSAMXG00000000366,942,538,0.571125265
ENSAMXG00000000367,1287,617,0.479409479
ENSAMXG00000000368,330,167,0.506060606
ENSAMXG00000000369,1518,748,0.492753623
ENSAMXG00000000370,2799,1472,0.525902108
ENSAMXG00000000371,1455,782,0.537457045
ENSAMXG00000000372,1041,436,0.41882805
ENSAMXG00000000373,372,212,0.569892473
ENSAMXG00000000374,861,428,0.4970964
ENSAMXG00000000375,1038,616,0.59344894
ENSAMXG00000000376,1431,733,0.51222921
ENSAMXG00000000377,1413,694,0.491153574
ENSAMXG00000000378,1587,853,0.537492124
ENSAMXG00000000379,3990,1953,0.489473684
ENSAMXG00000000380,978,614,0.627811861
ENSAMXG00000000381,1518,782,0.515151515
ENSAMXG00000000382,159,70,0.440251572
ENSAMXG00000000383,648,345,0.532407407
ENSAMXG00000000384,1029,601,0.584062196
ENSAMXG00000000385,2688,1314,0.488839286
ENSAMXG00000000386,3183,1783,0.560163368
ENSAMXG00000000387,2571,1358,0.528199144
ENSAMXG00000000388,4599,2660,0.578386606
ENSAMXG00000000389,630,337,0.534920635
ENSAMXG00000000390,2493,1437,0.576413959
ENSAMXG00000000391,11538,6041,0.523574276
ENSAMXG00000000392,1014,491,0.484220907
ENSAMXG00000000393,4011,2350,0.585888806
ENSAMXG00000000394,3279,1668,0.508691674
ENSAMXG00000000395,1206,536,0.444444444
ENSAMXG00000000396,1251,715,0.571542766
ENSAMXG00000000397,1677,871,0.519379845
ENSAMXG00000000398,5340,2778,0.520224719
ENSAMXG00000000399,558,294,0.52688172
ENSAMXG00000000400,786,380,0.48346056
ENSAMXG00000000401,420,211,0.502380952
ENSAMXG00000000402,1464,721,0.492486339
ENSAMXG00000000403,1404,776,0.552706553
ENSAMXG00000000404,2832,1439,0.508121469
ENSAMXG00000000405,1551,779,0.502256609
ENSAMXG00000000406,579,322,0.556131261
ENSAMXG00000000407,834,431,0.516786571
ENSAMXG00000000408,3042,1535,0.504602235
ENSAMXG00000000409,378,213,0.563492063
ENSAMXG00000000410,567,319,0.562610229
ENSAMXG00000000411,1194,603,0.505025126
ENSAMXG00000000412,1371,772,0.563092633
ENSAMXG00000000413,3285,1957,0.595738204
ENSAMXG00000000414,510,300,0.588235294
ENSAMXG00000000415,528,327,0.619318182
ENSAMXG00000000416,915,456,0.498360656
ENSAMXG00000000417,441,236,0.535147392
ENSAMXG00000000418,270,129,0.477777778
ENSAMXG00000000419,3408,1500,0.440140845
ENSAMXG00000000420,4464,2301,0.515456989
ENSAMXG00000000421,3060,1650,0.539215686
ENSAMXG00000000422,1686,870,0.516014235
ENSAMXG00000000423,699,437,0.625178827
ENSAMXG00000000424,780,413,0.529487179
ENSAMXG00000000425,729,380,0.521262003
ENSAMXG00000000426,768,359,0.467447917
ENSAMXG00000000427,558,316,0.566308244
ENSAMXG00000000428,747,459,0.614457831
ENSAMXG00000000429,594,327,0.550505051
ENSAMXG00000000430,639,309,0.483568075
ENSAMXG00000000431,1110,582,0.524324324
ENSAMXG00000000432,366,187,0.510928962
ENSAMXG00000000433,1572,961,0.611323155
ENSAMXG00000000434,381,206,0.540682415
ENSAMXG00000000435,1539,927,0.602339181
ENSAMXG00000000436,774,379,0.489664083
ENSAMXG00000000437,3045,1537,0.504761905
ENSAMXG00000000438,1446,802,0.554633472
ENSAMXG00000000439,498,245,0.491967871
ENSAMXG00000000440,2379,1225,0.514922236
ENSAMXG00000000441,1977,1083,0.547799697
ENSAMXG00000000442,7659,4249,0.554772163
ENSAMXG00000000443,3537,1914,0.541136556
ENSAMXG00000000444,666,370,0.555555556
ENSAMXG00000000445,405,188,0.464197531
ENSAMXG00000000446,660,323,0.489393939
ENSAMXG00000000447,1431,689,0.481481481
ENSAMXG00000000448,681,300,0.440528634
ENSAMXG00000000449,1182,643,0.543993232
ENSAMXG00000000450,540,247,0.457407407
ENSAMXG00000000451,546,289,0.529304029
ENSAMXG00000000452,858,498,0.58041958
ENSAMXG00000000453,456,189,0.414473684
ENSAMXG00000000454,687,338,0.491994178
ENSAMXG00000000455,1530,776,0.507189542
ENSAMXG00000000456,567,245,0.432098765
ENSAMXG00000000457,1047,610,0.582617001
ENSAMXG00000000458,2742,1573,0.573668855
ENSAMXG00000000459,2070,1140,0.550724638
ENSAMXG00000000460,2025,1128,0.557037037
ENSAMXG00000000461,5313,2695,0.507246377
ENSAMXG00000000462,1011,591,0.584569733
ENSAMXG00000000463,567,251,0.442680776
ENSAMXG00000000464,795,436,0.548427673
ENSAMXG00000000465,939,423,0.450479233
ENSAMXG00000000466,630,304,0.482539683
ENSAMXG00000000467,1341,729,0.543624161
ENSAMXG00000000468,1101,535,0.485921889
ENSAMXG00000000469,2556,1311,0.512910798
ENSAMXG00000000470,1599,900,0.562851782
ENSAMXG00000000471,618,301,0.487055016
ENSAMXG00000000472,3651,1931,0.528896193
ENSAMXG00000000473,471,293,0.622080679
ENSAMXG00000000474,399,236,0.591478697
ENSAMXG00000000475,3303,1595,0.482894338
ENSAMXG00000000476,2943,1594,0.541624193
ENSAMXG00000000477,1626,877,0.539360394
ENSAMXG00000000478,1026,540,0.526315789
ENSAMXG00000000479,3585,1656,0.461924686
ENSAMXG00000000480,2382,1190,0.499580185
ENSAMXG00000000481,1566,746,0.476372925
ENSAMXG00000000482,669,428,0.639760837
ENSAMXG00000000483,2982,1394,0.467471496
ENSAMXG00000000484,828,498,0.601449275
ENSAMXG00000000485,1491,845,0.566733736
ENSAMXG00000000486,381,184,0.482939633
ENSAMXG00000000487,459,272,0.592592593
ENSAMXG00000000488,855,439,0.513450292
ENSAMXG00000000489,1362,585,0.429515419
ENSAMXG00000000490,3504,1521,0.434075342
ENSAMXG00000000491,4800,2741,0.571041667
ENSAMXG00000000492,1836,954,0.519607843
ENSAMXG00000000493,1269,627,0.494089835
ENSAMXG00000000494,1635,832,0.508868502
ENSAMXG00000000495,4734,2344,0.495141529
ENSAMXG00000000496,612,339,0.553921569
ENSAMXG00000000497,1137,671,0.590149516
ENSAMXG00000000498,2475,1382,0.558383838
ENSAMXG00000000499,1635,924,0.565137615
ENSAMXG00000000500,621,340,0.547504026
ENSAMXG00000000501,603,287,0.475953566
ENSAMXG00000000502,2382,1253,0.526028547
ENSAMXG00000000503,3039,1413,0.464955577
ENSAMXG00000000504,1425,672,0.471578947
ENSAMXG00000000505,1140,569,0.499122807
ENSAMXG00000000506,26406,13448,0.509278194
ENSAMXG00000000507,2229,1191,0.534320323
ENSAMXG00000000508,1002,474,0.473053892
ENSAMXG00000000509,2931,1390,0.474240873
ENSAMXG00000000510,1056,533,0.504734848
ENSAMXG00000000511,4296,2414,0.561918063
ENSAMXG00000000512,1200,679,0.565833333
ENSAMXG00000000513,1272,655,0.514937107
ENSAMXG00000000514,957,461,0.481713689
ENSAMXG00000000515,1251,712,0.569144684
ENSAMXG00000000516,2115,1032,0.487943262
ENSAMXG00000000517,2388,1153,0.482830821
ENSAMXG00000000518,1572,848,0.539440204
ENSAMXG00000000519,1341,649,0.483967189
ENSAMXG00000000520,2868,1439,0.501743375
ENSAMXG00000000521,1302,737,0.566052227
ENSAMXG00000000522,324,154,0.475308642
ENSAMXG00000000523,1299,630,0.484988453
ENSAMXG00000000524,1401,772,0.551034975
ENSAMXG00000000525,1467,691,0.471029312
ENSAMXG00000000526,1305,581,0.445210728
ENSAMXG00000000527,1080,634,0.587037037
ENSAMXG00000000528,2514,1235,0.491249006
ENSAMXG00000000529,1005,473,0.470646766
ENSAMXG00000000530,498,238,0.477911647
ENSAMXG00000000531,1068,572,0.535580524
ENSAMXG00000000532,507,247,0.487179487
ENSAMXG00000000533,807,478,0.592317224
ENSAMXG00000000534,1650,845,0.512121212
ENSAMXG00000000535,756,401,0.53042328
ENSAMXG00000019251,1221,596,0.488124488
ENSAMXG00000000537,1356,641,0.472713864
ENSAMXG00000000538,1029,491,0.477162293
ENSAMXG00000000539,837,424,0.506571087
ENSAMXG00000000540,5238,2211,0.422107675
ENSAMXG00000000541,2292,1118,0.487783595
ENSAMXG00000000542,2229,1158,0.519515478
ENSAMXG00000000543,2184,1071,0.490384615
ENSAMXG00000000544,3318,1683,0.507233273
ENSAMXG00000000545,564,279,0.494680851
ENSAMXG00000000546,2277,1062,0.466403162
ENSAMXG00000000547,2337,1342,0.574240479
ENSAMXG00000000548,3660,1895,0.517759563
ENSAMXG00000000549,4977,2427,0.487643159
ENSAMXG00000000550,1749,927,0.530017153
ENSAMXG00000000551,1458,740,0.507544582
ENSAMXG00000000552,840,519,0.617857143
ENSAMXG00000000553,2067,1070,0.517658442
ENSAMXG00000000554,2640,1380,0.522727273
ENSAMXG00000000555,3519,1832,0.520602444
ENSAMXG00000000556,1092,558,0.510989011
ENSAMXG00000000557,4479,2486,0.555034606
ENSAMXG00000019240,1533,833,0.543378995
ENSAMXG00000000559,1098,531,0.483606557
ENSAMXG00000000560,3549,1814,0.511129896
ENSAMXG00000000561,1305,735,0.563218391
ENSAMXG00000000562,4884,2417,0.494881245
ENSAMXG00000000563,2148,1163,0.541433892
ENSAMXG00000000564,2397,1094,0.456403838
ENSAMXG00000000565,1170,631,0.539316239
ENSAMXG00000000566,3366,1689,0.501782531
ENSAMXG00000000567,852,387,0.454225352
ENSAMXG00000000568,2931,1474,0.502900034
ENSAMXG00000000569,1599,810,0.506566604
ENSAMXG00000000570,273,126,0.461538462
ENSAMXG00000000571,1263,713,0.564528899
ENSAMXG00000000572,1230,684,0.556097561
ENSAMXG00000000573,1008,525,0.520833333
ENSAMXG00000000574,2670,1454,0.544569288
ENSAMXG00000000575,588,290,0.493197279
ENSAMXG00000000576,2622,1310,0.499618612
ENSAMXG00000000577,1731,1043,0.602541883
ENSAMXG00000000578,1119,564,0.504021448
ENSAMXG00000000579,1638,770,0.47008547
ENSAMXG00000000580,1179,552,0.468193384
ENSAMXG00000000581,1917,1026,0.535211268
ENSAMXG00000000582,2112,1018,0.482007576
ENSAMXG00000000583,1413,691,0.489030432
ENSAMXG00000000584,720,399,0.554166667
ENSAMXG00000000585,1011,509,0.503461919
ENSAMXG00000000586,849,484,0.57008245
ENSAMXG00000000587,1335,635,0.475655431
ENSAMXG00000000588,384,198,0.515625
ENSAMXG00000000589,1461,718,0.491444216
ENSAMXG00000000590,3738,1830,0.489566613
ENSAMXG00000019235,309,157,0.508090615
ENSAMXG00000000592,1932,982,0.508281573
ENSAMXG00000000593,1374,677,0.49272198
ENSAMXG00000000594,807,472,0.58488228
ENSAMXG00000000595,522,253,0.48467433
ENSAMXG00000000596,930,442,0.475268817
ENSAMXG00000000597,462,256,0.554112554
ENSAMXG00000000598,1284,654,0.509345794
ENSAMXG00000000599,1332,548,0.411411411
ENSAMXG00000000600,1083,615,0.567867036
ENSAMXG00000000601,927,455,0.490830636
ENSAMXG00000000602,663,359,0.54147813
ENSAMXG00000000603,5700,2702,0.474035088
ENSAMXG00000000604,585,290,0.495726496
ENSAMXG00000000605,1047,525,0.501432665
ENSAMXG00000000606,993,435,0.438066465
ENSAMXG00000000607,504,263,0.521825397
ENSAMXG00000000608,1029,481,0.467444121
ENSAMXG00000000609,432,214,0.49537037
ENSAMXG00000000610,795,403,0.506918239
