gene_id,gene_length,GC_length,GC_prop,mean,median,longest_isoform,merged,exon_number,SSR,HPR
ENSAMXG00000000027,957,515,0.538140021,6000,5983,6022,6039,8,1,1
ENSAMXG00000000028,432,233,0.539351852,611,611,611,611,3,1,0
ENSAMXG00000000029,387,216,0.558139535,398,398,398,398,2,1,1
ENSAMXG00000000030,1077,555,0.515320334,1558,1558,1558,1558,14,1,1
ENSAMXG00000000031,453,241,0.53200883,587,587,587,587,2,1,1
ENSAMXG00000000032,3318,1635,0.492766727,7118,7118,7118,7118,19,1,1
ENSAMXG00000000033,582,310,0.532646048,1117,1117,1117,1117,4,1,0
ENSAMXG00000000034,1170,682,0.582905983,1170,1170,1170,1170,9,1,0
ENSAMXG00000000035,2100,1026,0.488571429,2322,2322,2322,2322,19,1,1
ENSAMXG00000000036,3873,1844,0.476116705,3873,3873,3873,3873,3,1,1
ENSAMXG00000000037,3969,1905,0.479969766,3969,3969,3969,3969,26,1,1
ENSAMXG00000000038,990,587,0.592929293,1715,1715,1715,1715,4,1,1
ENSAMXG00000000039,3639,1943,0.533937895,4153,4153,4153,4153,23,1,1
ENSAMXG00000000040,741,424,0.57219973,1547,1547,1547,1547,5,0,0
ENSAMXG00000000041,2244,1152,0.513368984,2244,2244,2244,2244,24,1,1
ENSAMXG00000000042,1479,788,0.532792427,2289,2289,2289,2289,11,1,0
ENSAMXG00000000043,510,271,0.531372549,2212,2212,2212,2212,6,0,0
ENSAMXG00000000044,1788,1088,0.608501119,1829,1829,1829,1829,6,1,0
ENSAMXG00000000045,282,120,0.425531915,1955,1955,1955,1955,2,1,1
ENSAMXG00000000046,987,520,0.526849037,3826,3826,3826,3826,7,1,0
ENSAMXG00000000047,1533,889,0.579908676,2440,2440,2440,2440,8,1,1
ENSAMXG00000000048,786,399,0.507633588,1286,1286,1286,1286,8,1,1
ENSAMXG00000000049,2862,1504,0.525506639,7797,7797,7797,7797,25,1,0
ENSAMXG00000000050,1002,529,0.527944112,1002,1002,1002,1002,2,1,1
ENSAMXG00000000051,450,203,0.451111111,1274,1274,1274,1274,5,1,0
ENSAMXG00000000052,1848,891,0.482142857,6515,6515,6515,6515,13,1,1
ENSAMXG00000000053,1194,630,0.527638191,1652,1652,1652,1652,6,1,1
ENSAMXG00000000054,1695,777,0.45840708,4869,4869,4869,4869,14,1,1
ENSAMXG00000000055,1407,796,0.565742715,1407,1407,1407,1407,9,1,1
ENSAMXG00000000056,1227,663,0.540342298,2714,2714,2714,2714,6,1,1
ENSAMXG00000000057,672,354,0.526785714,843,843,843,843,3,1,1
ENSAMXG00000000058,2442,1170,0.479115479,4261,4261,4261,4261,12,1,0
ENSAMXG00000000059,1602,806,0.503121099,4748,4748,4748,4748,8,0,0
ENSAMXG00000000060,1395,679,0.486738351,5094,5094,5094,5094,11,1,1
ENSAMXG00000000061,1752,958,0.546803653,4119,4119,4119,4119,16,1,0
ENSAMXG00000000062,4425,2242,0.506666667,4425,4425,4425,4425,36,1,1
ENSAMXG00000000063,1317,696,0.528473804,2803,2803,2803,2803,5,1,0
ENSAMXG00000000064,1533,782,0.510110894,2352,2352,2352,2352,12,1,0
ENSAMXG00000000065,498,245,0.491967871,498,498,498,498,2,1,1
ENSAMXG00000000066,1206,528,0.437810945,1206,1206,1206,1206,11,1,1
ENSAMXG00000000067,3336,1714,0.513788969,3336,3336,3336,3336,29,1,0
ENSAMXG00000000068,1959,1061,0.541602859,2087,2395,2395,2452,17,1,0
ENSAMXG00000000069,918,587,0.639433551,2866,2866,2866,2866,2,1,0
ENSAMXG00000000070,903,612,0.677740864,1562,1562,1562,1562,2,1,0
ENSAMXG00000000071,567,253,0.446208113,1686,1686,1686,1686,7,1,0
ENSAMXG00000000072,1149,676,0.588337685,1616,1616,1616,1616,6,1,1
ENSAMXG00000000073,1134,691,0.609347443,5684,5684,5684,5684,2,1,0
ENSAMXG00000000074,10881,5424,0.498483595,11921,11921,11921,11921,66,1,1
ENSAMXG00000000075,1122,537,0.478609626,2640,2640,2640,2640,10,1,1
ENSAMXG00000000076,801,413,0.515605493,4271,4271,4271,4271,7,1,0
ENSAMXG00000000077,855,422,0.493567251,1158,1158,1158,1158,9,1,0
ENSAMXG00000000078,537,263,0.489757914,3280,3280,3280,3280,5,1,0
ENSAMXG00000000079,699,349,0.499284692,1413,1413,1413,1413,5,0,0
ENSAMXG00000000080,444,196,0.441441441,2343,2343,2343,2343,5,1,1
ENSAMXG00000000081,1035,513,0.495652174,1240,1240,1240,1240,6,0,0
ENSAMXG00000000082,1080,508,0.47037037,1080,1080,1080,1080,2,1,0
ENSAMXG00000000083,474,269,0.567510549,1912,1912,1912,1912,4,1,1
ENSAMXG00000000084,654,332,0.50764526,1319,1319,1319,1319,6,1,0
ENSAMXG00000000085,2019,1001,0.495789995,4010,4010,4010,4010,5,1,0
ENSAMXG00000000086,1479,795,0.537525355,1778,1778,1778,1778,4,1,0
ENSAMXG00000000087,2043,1071,0.524229075,2043,2043,2043,2043,24,1,0
ENSAMXG00000000088,768,369,0.48046875,768,768,768,768,7,1,0
ENSAMXG00000000089,408,236,0.578431373,743,743,743,743,2,1,0
ENSAMXG00000000090,864,492,0.569444444,1204,1204,1204,1204,6,1,1
ENSAMXG00000000091,1392,669,0.480603448,1601,1601,1601,1601,15,1,0
ENSAMXG00000000092,504,236,0.468253968,504,504,504,504,5,1,1
ENSAMXG00000000093,750,368,0.490666667,1738,1738,1738,1738,8,1,0
ENSAMXG00000000094,672,392,0.583333333,766,766,766,766,2,1,1
ENSAMXG00000000095,1863,1032,0.55394525,6249,6249,6249,6249,11,1,0
ENSAMXG00000000096,1215,643,0.529218107,4218,4218,4218,4218,8,1,0
ENSAMXG00000000097,1836,919,0.500544662,7264,7264,7264,7264,18,1,0
ENSAMXG00000000098,1545,752,0.486731392,2735,2735,2735,2735,12,1,1
ENSAMXG00000000099,1155,694,0.600865801,1614,1614,1614,1614,3,1,0
ENSAMXG00000000100,3726,1999,0.536500268,3849,3849,3849,3849,28,1,0
ENSAMXG00000000101,858,511,0.595571096,3188,3188,3188,3188,2,1,1
ENSAMXG00000000102,696,408,0.586206897,696,696,696,696,4,1,1
ENSAMXG00000000103,1437,878,0.610995129,2344,2344,2344,2344,7,1,1
ENSAMXG00000000104,570,287,0.503508772,577,577,577,577,6,1,1
ENSAMXG00000000105,1206,577,0.478441128,1206,1206,1206,1206,11,1,1
ENSAMXG00000000106,4485,2695,0.600891862,6163,6163,6163,6163,54,1,1
ENSAMXG00000000107,2130,1000,0.469483568,2308,2308,2308,2308,16,1,1
ENSAMXG00000000108,1380,670,0.485507246,5144,5144,5144,5144,10,1,1
ENSAMXG00000000109,1599,744,0.465290807,4893,4893,4893,4893,17,1,0
ENSAMXG00000000110,2937,1490,0.507320395,4701,4701,4701,4701,31,1,0
ENSAMXG00000000111,333,159,0.477477477,1316,1316,1316,1316,3,1,1
ENSAMXG00000000112,1836,878,0.478213508,3032,3032,3032,3032,22,1,1
ENSAMXG00000000113,591,324,0.54822335,2140,2140,2140,2140,7,1,0
ENSAMXG00000000114,2559,1156,0.451738961,3281,3281,3281,3281,20,1,1
ENSAMXG00000000115,1971,943,0.478437341,3763,3763,3763,3763,23,1,1
ENSAMXG00000000116,1119,517,0.46201966,1119,1119,1119,1119,13,1,0
ENSAMXG00000000117,1827,879,0.481116585,2365,2365,2365,2365,12,1,0
ENSAMXG00000000118,1062,509,0.479284369,1135,1135,1135,1135,6,1,1
ENSAMXG00000000119,1185,530,0.447257384,2339,2339,2339,2339,8,1,1
ENSAMXG00000000120,873,410,0.469644903,3476,3476,3476,3476,6,1,0
ENSAMXG00000000121,870,417,0.479310345,1061,1061,1061,1061,5,1,0
ENSAMXG00000000122,657,320,0.487062405,2042,2042,2042,2042,4,1,1
ENSAMXG00000000123,4032,1724,0.427579365,4275,4275,4275,4275,16,1,1
ENSAMXG00000000124,990,502,0.507070707,4766,4766,4766,4766,7,1,0
ENSAMXG00000000125,1299,676,0.520400308,3535,3535,3535,3535,10,1,0
ENSAMXG00000000126,789,406,0.514575412,4829,4829,4829,4829,7,1,1
ENSAMXG00000000127,657,292,0.444444444,883,883,883,883,7,1,1
ENSAMXG00000000128,414,188,0.45410628,1063,1063,1063,1063,5,1,1
ENSAMXG00000000129,930,568,0.610752688,3089,3089,3089,3089,4,1,0
ENSAMXG00000000130,828,410,0.495169082,2249,2249,2249,2249,7,1,1
ENSAMXG00000000131,2529,1269,0.501779359,2510,2510,2529,2646,4,1,1
ENSAMXG00000000132,1668,742,0.444844125,2119,2119,2119,2119,14,1,1
ENSAMXG00000000133,459,219,0.477124183,744,744,744,744,6,1,0
ENSAMXG00000000134,1536,746,0.485677083,5139,5139,5139,5139,14,1,1
ENSAMXG00000000135,2853,1601,0.561163687,5352,5352,5352,5352,22,1,1
ENSAMXG00000000136,381,205,0.538057743,384,384,384,384,3,1,1
ENSAMXG00000000137,897,463,0.516164994,3533,3533,3533,3533,4,0,1
ENSAMXG00000000138,1083,484,0.446906741,1294,1294,1294,1294,3,1,0
ENSAMXG00000000139,1347,669,0.496659243,1697,1697,1697,1697,10,1,0
ENSAMXG00000000140,1134,560,0.49382716,2215,2215,2215,2215,5,1,0
ENSAMXG00000000141,966,537,0.555900621,1760,1760,1760,1760,8,1,1
ENSAMXG00000000142,2031,1208,0.594780896,2252,2252,2252,2252,10,1,0
ENSAMXG00000000143,2256,1254,0.555851064,5469,5469,5469,5469,7,1,0
ENSAMXG00000000144,579,258,0.445595855,678,678,678,678,7,1,0
ENSAMXG00000000145,3522,1529,0.434128336,5113,5113,5113,5113,16,1,1
ENSAMXG00000000146,1512,726,0.48015873,2061,2061,2061,2061,8,1,1
ENSAMXG00000000147,825,450,0.545454545,825,825,825,825,3,1,1
ENSAMXG00000000148,141,75,0.531914894,141,141,141,141,2,1,0
ENSAMXG00000000149,1848,912,0.493506494,4265,4265,4265,4265,16,1,1
ENSAMXG00000000150,1956,1052,0.537832311,1956,1956,1956,1956,15,0,0
ENSAMXG00000000151,9312,3794,0.407431271,9312,9312,9312,9312,16,1,1
ENSAMXG00000000152,1539,733,0.476283301,1539,1539,1539,1539,10,1,1
ENSAMXG00000000153,1557,863,0.554271034,4762,4762,4762,4762,2,1,1
ENSAMXG00000000154,8010,3992,0.498377029,11358,11358,11358,11358,58,1,1
ENSAMXG00000000155,4542,2371,0.522016733,7244,7244,7244,7244,41,1,0
ENSAMXG00000000156,1407,695,0.493958778,1407,1407,1407,1407,8,1,1
ENSAMXG00000000157,1749,903,0.516295026,2320,2320,2320,2320,5,1,1
ENSAMXG00000000158,819,441,0.538461538,819,819,819,819,12,1,1
ENSAMXG00000000159,3906,1980,0.506912442,4023,3906,4163,4557,34,1,1
ENSAMXG00000000160,2430,1386,0.57037037,2884,2884,2884,2884,6,1,1
ENSAMXG00000000161,1956,930,0.475460123,2950,2950,2950,2950,14,1,0
ENSAMXG00000000162,1122,574,0.511586453,3177,3177,3177,3177,8,1,1
ENSAMXG00000000163,1476,744,0.504065041,2313,2313,2313,2313,11,1,1
ENSAMXG00000000164,2457,1395,0.567765568,2457,2457,2457,2457,4,1,1
ENSAMXG00000000165,2238,1119,0.5,3048,3048,3048,3048,19,1,0
ENSAMXG00000000166,393,219,0.557251908,909,909,909,909,3,1,1
ENSAMXG00000000167,945,493,0.521693122,945,945,945,945,9,1,1
ENSAMXG00000000168,582,325,0.558419244,1084,1084,1084,1084,2,1,0
ENSAMXG00000000169,279,171,0.612903226,412,412,412,412,3,1,0
ENSAMXG00000000170,933,527,0.564844587,933,933,933,933,2,0,0
ENSAMXG00000000171,975,489,0.501538462,4789,4789,4789,4789,9,1,0
ENSAMXG00000000172,2172,1098,0.505524862,2700,2700,2700,2700,18,1,1
ENSAMXG00000000173,765,394,0.51503268,1225,1225,1225,1225,10,1,1
ENSAMXG00000000174,996,556,0.558232932,4695,4695,4695,4695,7,1,0
ENSAMXG00000000175,708,396,0.559322034,1136,1136,1136,1136,4,1,0
ENSAMXG00000000176,2688,1469,0.546502976,5825,5825,5825,5825,18,1,0
ENSAMXG00000000177,1026,599,0.583820663,1977,1977,1977,1977,2,1,0
ENSAMXG00000000178,582,315,0.541237113,1877,1879,1879,1879,6,1,0
ENSAMXG00000000179,4917,2371,0.482204596,9257,9257,9257,9257,49,1,1
ENSAMXG00000000180,2784,1290,0.463362069,2784,2784,2784,2784,29,1,1
ENSAMXG00000000181,1026,549,0.535087719,4799,4799,4799,4799,5,1,0
ENSAMXG00000000182,567,296,0.522045855,2835,2835,2835,2835,5,1,0
ENSAMXG00000000183,2286,1263,0.552493438,2575,2575,2575,2575,4,1,1
ENSAMXG00000000184,1185,595,0.502109705,1711,1711,1711,1711,13,1,1
ENSAMXG00000000185,1809,1018,0.562741846,5606,5366,5950,5953,7,1,0
ENSAMXG00000000186,1308,735,0.561926606,4075,4075,4075,4075,9,1,1
ENSAMXG00000000187,3879,1889,0.486981181,3879,3879,3879,3879,41,1,0
ENSAMXG00000000188,2589,1376,0.531479336,3471,3471,3471,3471,24,1,0
ENSAMXG00000000189,1911,1056,0.552590267,2121,2121,2121,2121,14,1,0
ENSAMXG00000000190,1560,746,0.478205128,1560,1560,1560,1560,14,1,0
ENSAMXG00000000191,429,195,0.454545455,553,553,553,553,6,1,1
ENSAMXG00000000192,816,419,0.513480392,816,816,816,816,6,1,1
ENSAMXG00000000193,1488,743,0.499327957,6003,6003,6003,6003,15,1,1
ENSAMXG00000000194,636,322,0.506289308,3084,3084,3084,3178,9,1,1
ENSAMXG00000000195,1290,687,0.53255814,3809,3809,3809,3809,10,1,1
ENSAMXG00000000196,153,82,0.535947712,153,153,153,153,2,1,1
ENSAMXG00000000197,1260,572,0.453968254,1864,1864,1864,1864,13,1,1
ENSAMXG00000000198,2343,1236,0.527528809,5937,5937,5937,5937,16,1,0
ENSAMXG00000000199,1404,660,0.47008547,2403,2403,2403,2403,10,0,0
ENSAMXG00000000200,537,268,0.499068901,2772,2772,2772,2772,4,0,1
ENSAMXG00000000201,207,91,0.439613527,207,207,207,207,2,1,0
ENSAMXG00000000202,1116,584,0.523297491,1547,1547,1547,1547,8,1,1
ENSAMXG00000000203,1479,706,0.477349561,1479,1479,1479,1479,13,0,0
ENSAMXG00000000204,849,420,0.494699647,849,849,849,849,11,1,1
ENSAMXG00000000205,1050,548,0.521904762,4292,4292,4292,4292,8,1,1
ENSAMXG00000000206,1464,735,0.50204918,2258,2258,2258,2258,7,1,1
ENSAMXG00000000207,4737,2317,0.48912814,9564,9564,9564,9564,53,1,1
ENSAMXG00000000208,1071,526,0.491129785,3311,1068,5929,6121,9,1,1
ENSAMXG00000000209,639,331,0.51799687,3590,3590,3590,3590,5,1,1
ENSAMXG00000000210,1308,639,0.48853211,2371,2371,2371,2371,11,1,1
ENSAMXG00000000211,1614,723,0.44795539,2097,2097,2097,2097,17,1,1
ENSAMXG00000000212,363,169,0.465564738,363,363,363,363,2,1,1
ENSAMXG00000000213,8118,3991,0.491623553,9070,9070,9070,9070,48,1,0
ENSAMXG00000000214,375,155,0.413333333,375,375,375,375,3,1,0
ENSAMXG00000000215,2613,1286,0.492154612,4274,4274,4274,4274,20,1,1
ENSAMXG00000000216,1242,583,0.469404187,4407,4407,4407,4407,9,1,0
ENSAMXG00000000217,1995,1055,0.528822055,2211,2211,2211,2211,12,1,1
ENSAMXG00000000218,378,235,0.621693122,1454,1454,1454,1454,3,1,1
ENSAMXG00000000219,582,295,0.506872852,3644,3644,3644,3644,5,1,0
ENSAMXG00000000220,2289,1129,0.493228484,2289,2289,2289,2289,18,1,1
ENSAMXG00000000221,1842,888,0.482084691,1842,1842,1842,1842,16,1,0
ENSAMXG00000000222,330,157,0.475757576,2312,2312,2312,2312,2,1,0
ENSAMXG00000000223,2358,1014,0.430025445,2942,2942,2942,2942,3,1,1
ENSAMXG00000000224,300,146,0.486666667,1331,1331,1331,1331,3,1,0
ENSAMXG00000000225,810,369,0.455555556,1240,1240,1240,1240,6,0,0
ENSAMXG00000000226,546,242,0.443223443,798,798,798,798,6,1,1
ENSAMXG00000000227,261,112,0.429118774,885,885,885,885,3,1,1
ENSAMXG00000000228,543,253,0.465930018,959,959,959,959,6,1,0
ENSAMXG00000000229,1347,668,0.495916852,1347,1347,1347,1347,7,1,1
ENSAMXG00000000230,1170,646,0.552136752,1182,1182,1182,1182,9,1,0
ENSAMXG00000000231,381,201,0.527559055,2551,2551,2551,2551,5,1,0
ENSAMXG00000000232,1467,674,0.459441036,1467,1467,1467,1467,4,1,0
ENSAMXG00000000233,1164,537,0.461340206,1297,1297,1297,1297,13,1,0
ENSAMXG00000000234,1770,864,0.488135593,6954,6707,7217,7311,18,0,0
ENSAMXG00000000235,1170,580,0.495726496,1457,1457,1457,1457,11,1,1
ENSAMXG00000000236,690,317,0.45942029,690,690,690,690,3,1,0
ENSAMXG00000000237,2127,1074,0.50493653,2127,2127,2127,2127,23,1,1
ENSAMXG00000000238,231,143,0.619047619,231,231,231,231,2,0,1
ENSAMXG00000000239,2505,1254,0.500598802,2615,2615,2615,2615,23,1,0
ENSAMXG00000000240,1278,742,0.580594679,3404,3404,3404,3404,8,1,1
ENSAMXG00000000241,765,396,0.517647059,3226,3226,3226,3226,9,1,0
ENSAMXG00000000242,405,220,0.543209877,549,549,549,549,5,1,1
ENSAMXG00000000243,1788,942,0.526845638,4850,4850,4850,4850,16,1,1
ENSAMXG00000000244,876,515,0.587899543,1878,1878,1878,1878,3,1,0
ENSAMXG00000000245,1950,862,0.442051282,2198,2198,2198,2198,5,1,0
ENSAMXG00000000246,1107,599,0.541102078,1107,1107,1107,1107,2,1,1
ENSAMXG00000000247,3759,2020,0.537376962,6518,6518,6518,6518,29,0,0
ENSAMXG00000000248,429,197,0.459207459,1442,1442,1442,1442,3,1,1
ENSAMXG00000000249,216,129,0.597222222,1806,1806,1806,1806,2,1,0
ENSAMXG00000000250,228,107,0.469298246,372,372,372,372,2,0,1
ENSAMXG00000000251,369,178,0.482384824,803,803,803,803,3,0,0
ENSAMXG00000000252,1851,1022,0.552133982,1972,1972,1972,1972,14,1,1
ENSAMXG00000000253,3786,2082,0.549920761,3786,3786,3786,3786,26,1,0
ENSAMXG00000000254,2685,1431,0.532960894,2685,2685,2685,2685,12,1,1
ENSAMXG00000000255,891,493,0.553310887,1266,1266,1266,1266,5,1,0
ENSAMXG00000000256,1230,637,0.517886179,1408,1408,1408,1408,12,1,1
ENSAMXG00000000257,1416,745,0.526129944,1416,1416,1416,1416,12,1,1
ENSAMXG00000000258,393,194,0.493638677,1120,1120,1120,1120,3,0,0
ENSAMXG00000000259,489,254,0.519427403,2443,2443,2443,2443,2,0,1
ENSAMXG00000000260,450,210,0.466666667,675,675,675,675,3,1,0
ENSAMXG00000000261,309,175,0.566343042,1068,1068,1068,1068,2,1,0
ENSAMXG00000000262,426,242,0.568075117,1269,1269,1269,1269,5,1,0
ENSAMXG00000000263,1248,716,0.573717949,1420,1420,1420,1420,5,1,1
ENSAMXG00000000264,555,282,0.508108108,1844,1844,1844,1844,4,1,0
ENSAMXG00000000265,240,121,0.504166667,799,799,799,799,2,1,0
ENSAMXG00000000266,1677,955,0.56946929,1677,1677,1677,1677,2,1,0
ENSAMXG00000000267,1764,916,0.519274376,1764,1764,1764,1764,14,1,0
ENSAMXG00000000268,3489,1687,0.483519633,3489,3489,3489,3489,33,1,0
ENSAMXG00000000269,837,433,0.517323775,2421,2421,2421,2421,6,0,0
ENSAMXG00000000270,231,105,0.454545455,557,557,557,557,4,1,1
ENSAMXG00000000271,927,438,0.472491909,1794,1794,1794,1794,9,1,0
ENSAMXG00000000272,738,369,0.5,786,786,786,786,6,1,0
ENSAMXG00000000273,4395,2318,0.52741752,5539,5539,5539,5539,26,1,0
ENSAMXG00000000274,1446,725,0.501383126,1908,1908,1908,1908,9,1,1
ENSAMXG00000000275,2151,1020,0.474198047,6534,6534,6534,6534,2,1,1
ENSAMXG00000000276,531,236,0.444444444,824,824,824,824,4,1,1
ENSAMXG00000000277,1428,731,0.511904762,1609,1609,1609,1609,6,1,1
ENSAMXG00000000278,774,388,0.50129199,5498,5498,5498,5498,5,1,0
ENSAMXG00000000279,591,328,0.55499154,1357,1357,1357,1357,6,1,1
ENSAMXG00000000280,366,175,0.478142077,2093,2093,2093,2093,4,1,0
ENSAMXG00000000281,1329,705,0.530474041,4688,4688,4688,4688,11,1,1
ENSAMXG00000000282,633,330,0.521327014,1126,1126,1126,1126,6,1,1
ENSAMXG00000000283,3720,2096,0.56344086,6150,6150,6150,6150,20,0,0
ENSAMXG00000000284,1176,682,0.579931973,2824,2824,2824,2824,5,1,1
ENSAMXG00000000285,909,488,0.536853685,921,921,921,921,9,0,0
ENSAMXG00000000286,2235,1184,0.529753915,5294,5294,5294,5294,14,1,1
ENSAMXG00000000287,672,279,0.415178571,677,677,677,677,3,1,1
ENSAMXG00000000288,1686,923,0.547449585,1976,1976,1976,1976,14,1,0
ENSAMXG00000000289,2730,1340,0.490842491,4002,4002,4002,4002,34,1,1
ENSAMXG00000000290,2553,1213,0.475127301,3127,3127,3127,3127,24,1,0
ENSAMXG00000000291,1398,746,0.533619456,1925,1925,1925,1925,9,0,0
ENSAMXG00000000292,2724,1200,0.440528634,2724,2724,2724,2724,6,1,1
ENSAMXG00000000293,654,372,0.568807339,3844,3844,3844,3844,5,1,1
ENSAMXG00000000294,1347,721,0.535263549,3768,3768,3768,3768,10,1,0
ENSAMXG00000000295,954,453,0.474842767,954,954,954,954,11,1,1
ENSAMXG00000000296,216,113,0.523148148,513,513,513,513,4,1,1
ENSAMXG00000000297,1143,673,0.5888014,2234,2234,2234,2234,8,0,0
ENSAMXG00000000298,1416,703,0.496468927,3654,3654,3654,3654,18,1,1
ENSAMXG00000000299,897,457,0.509476031,5558,5558,5558,5558,12,1,1
ENSAMXG00000000300,3648,1765,0.483826754,5756,5756,5756,5756,27,1,1
ENSAMXG00000000301,1830,885,0.483606557,2490,2490,2490,2490,15,1,0
ENSAMXG00000000302,1887,966,0.511923688,3029,3029,3029,3029,2,0,0
ENSAMXG00000000303,1452,762,0.524793388,1710,1710,1710,1710,14,1,1
ENSAMXG00000000304,876,553,0.631278539,1205,1205,1205,1205,5,1,0
ENSAMXG00000000305,1293,657,0.50812065,1573,1573,1573,1573,3,1,1
ENSAMXG00000000306,1047,555,0.53008596,5348,5348,5348,5348,6,1,0
ENSAMXG00000000307,1209,649,0.536807279,3019,3019,3019,3019,18,1,1
ENSAMXG00000000308,1938,841,0.433952528,2844,2844,2844,2844,6,1,1
ENSAMXG00000000309,996,519,0.521084337,4131,4131,4131,4131,2,1,0
ENSAMXG00000000310,486,266,0.547325103,758,758,758,758,4,1,1
ENSAMXG00000000311,1245,655,0.526104418,2233,2233,2233,2233,5,1,0
ENSAMXG00000000312,2613,1319,0.504783773,5375,5375,5375,5375,19,1,1
ENSAMXG00000000313,1344,780,0.580357143,5412,5412,5412,5412,10,1,0
ENSAMXG00000000314,8772,4020,0.458276334,9141,9141,9141,9141,24,1,0
ENSAMXG00000000315,825,341,0.413333333,1829,1829,1829,1829,8,1,1
ENSAMXG00000000316,1098,520,0.473588342,1235,1235,1235,1235,11,1,1
ENSAMXG00000000317,1353,794,0.58684405,1614,1614,1614,1614,8,1,1
ENSAMXG00000000318,2112,1001,0.473958333,2238,2238,2238,2238,14,0,0
ENSAMXG00000000319,4761,2504,0.525939929,10725,10725,10725,10725,31,1,0
ENSAMXG00000000320,1200,538,0.448333333,2263,2263,2263,2263,8,1,1
ENSAMXG00000000321,255,126,0.494117647,1022,1022,1022,1022,4,1,1
ENSAMXG00000000322,987,463,0.469098278,1529,1529,1529,1529,9,1,1
ENSAMXG00000000323,624,273,0.4375,3577,3577,3577,3577,7,1,1
ENSAMXG00000000324,1731,972,0.56152513,1818,1818,1818,1818,7,1,0
ENSAMXG00000000325,612,287,0.468954248,612,612,612,612,6,1,0
ENSAMXG00000000326,5124,2532,0.494145199,7291,7291,7291,7291,27,1,1
ENSAMXG00000000327,819,428,0.522588523,1738,1738,1738,1738,7,1,1
ENSAMXG00000000328,846,361,0.426713948,1783,1783,1783,1783,3,1,1
ENSAMXG00000000329,1533,826,0.538812785,2525,2525,2525,2525,10,1,0
ENSAMXG00000000330,1380,753,0.545652174,1405,1405,1405,1405,13,1,0
ENSAMXG00000000331,819,488,0.595848596,5415,5415,5415,5415,2,1,1
ENSAMXG00000000332,2775,1612,0.580900901,8512,8512,8512,8512,17,1,0
ENSAMXG00000000333,1953,965,0.494111623,1953,1953,1953,1953,3,1,0
ENSAMXG00000000334,2103,937,0.445553971,2103,2103,2103,2103,16,1,0
ENSAMXG00000000335,942,559,0.593418259,942,942,942,942,2,1,1
ENSAMXG00000000336,1575,903,0.573333333,1892,1892,1892,1892,12,1,0
ENSAMXG00000000337,228,104,0.456140351,813,813,813,813,2,1,0
ENSAMXG00000000338,2826,1583,0.560155697,3031,3031,3031,3031,13,1,0
ENSAMXG00000000339,279,116,0.415770609,1065,1065,1065,1065,2,1,1
ENSAMXG00000000340,753,415,0.551128818,1499,1499,1499,1499,6,1,1
ENSAMXG00000000341,897,559,0.623188406,1074,1074,1074,1074,3,1,1
ENSAMXG00000000342,1086,559,0.514732965,1086,1086,1086,1086,3,1,1
ENSAMXG00000000343,495,268,0.541414141,3495,3495,3495,3495,4,1,0
ENSAMXG00000000344,603,344,0.570480929,1077,1077,1077,1077,5,0,0
ENSAMXG00000000345,441,225,0.510204082,448,448,448,448,2,1,1
ENSAMXG00000000346,1848,894,0.483766234,1848,1848,1848,1848,2,0,1
