gene_id,mean,median,longest_isoform,merged
ENSAMXG00000000179,9257,9257,9257,9257
ENSAMXG00000000180,2784,2784,2784,2784
ENSAMXG00000000181,4799,4799,4799,4799
ENSAMXG00000000182,2835,2835,2835,2835
ENSAMXG00000000183,2575,2575,2575,2575
ENSAMXG00000000184,1711,1711,1711,1711
ENSAMXG00000000185,5606,5366,5950,5953
ENSAMXG00000000186,4075,4075,4075,4075
ENSAMXG00000000187,3879,3879,3879,3879
ENSAMXG00000000188,3471,3471,3471,3471
ENSAMXG00000000189,2121,2121,2121,2121
ENSAMXG00000000190,1560,1560,1560,1560
ENSAMXG00000000191,553,553,553,553
ENSAMXG00000000192,816,816,816,816
ENSAMXG00000000193,6003,6003,6003,6003
ENSAMXG00000000194,3084,3084,3084,3178
ENSAMXG00000000195,3809,3809,3809,3809
ENSAMXG00000000196,153,153,153,153
ENSAMXG00000000197,1864,1864,1864,1864
ENSAMXG00000000198,5937,5937,5937,5937
ENSAMXG00000000199,2403,2403,2403,2403
ENSAMXG00000000200,2772,2772,2772,2772
ENSAMXG00000000201,207,207,207,207
ENSAMXG00000000202,1547,1547,1547,1547
ENSAMXG00000000203,1479,1479,1479,1479
ENSAMXG00000000204,849,849,849,849
ENSAMXG00000000205,4292,4292,4292,4292
ENSAMXG00000000206,2258,2258,2258,2258
ENSAMXG00000000207,9564,9564,9564,9564
ENSAMXG00000000208,3311,1068,5929,6121
ENSAMXG00000000209,3590,3590,3590,3590
ENSAMXG00000000210,2371,2371,2371,2371
ENSAMXG00000000211,2097,2097,2097,2097
ENSAMXG00000000212,363,363,363,363
ENSAMXG00000000213,9070,9070,9070,9070
ENSAMXG00000000214,375,375,375,375
ENSAMXG00000000215,4274,4274,4274,4274
ENSAMXG00000000216,4407,4407,4407,4407
ENSAMXG00000000217,2211,2211,2211,2211
ENSAMXG00000000218,1454,1454,1454,1454
ENSAMXG00000000219,3644,3644,3644,3644
ENSAMXG00000000220,2289,2289,2289,2289
ENSAMXG00000000221,1842,1842,1842,1842
ENSAMXG00000000222,2312,2312,2312,2312
ENSAMXG00000000223,2942,2942,2942,2942
ENSAMXG00000000224,1331,1331,1331,1331
ENSAMXG00000000225,1240,1240,1240,1240
ENSAMXG00000000226,798,798,798,798
ENSAMXG00000000227,885,885,885,885
ENSAMXG00000000228,959,959,959,959
ENSAMXG00000000229,1347,1347,1347,1347
ENSAMXG00000000230,1182,1182,1182,1182
ENSAMXG00000000231,2551,2551,2551,2551
ENSAMXG00000000232,1467,1467,1467,1467
ENSAMXG00000000233,1297,1297,1297,1297
ENSAMXG00000000234,6954,6707,7217,7311
ENSAMXG00000000235,1457,1457,1457,1457
ENSAMXG00000000236,690,690,690,690
ENSAMXG00000000237,2127,2127,2127,2127
ENSAMXG00000000238,231,231,231,231
ENSAMXG00000000239,2615,2615,2615,2615
ENSAMXG00000000240,3404,3404,3404,3404
ENSAMXG00000000241,3226,3226,3226,3226
ENSAMXG00000000242,549,549,549,549
ENSAMXG00000000243,4850,4850,4850,4850
ENSAMXG00000000244,1878,1878,1878,1878
ENSAMXG00000000245,2198,2198,2198,2198
ENSAMXG00000000246,1107,1107,1107,1107
ENSAMXG00000000247,6518,6518,6518,6518
ENSAMXG00000000248,1442,1442,1442,1442
ENSAMXG00000000249,1806,1806,1806,1806
ENSAMXG00000000250,372,372,372,372
ENSAMXG00000000251,803,803,803,803
ENSAMXG00000000252,1972,1972,1972,1972
ENSAMXG00000000253,3786,3786,3786,3786
ENSAMXG00000000254,2685,2685,2685,2685
ENSAMXG00000000255,1266,1266,1266,1266
ENSAMXG00000000256,1408,1408,1408,1408
ENSAMXG00000000257,1416,1416,1416,1416
ENSAMXG00000000258,1120,1120,1120,1120
ENSAMXG00000000259,2443,2443,2443,2443
ENSAMXG00000000260,675,675,675,675
ENSAMXG00000000261,1068,1068,1068,1068
ENSAMXG00000000262,1269,1269,1269,1269
ENSAMXG00000000263,1420,1420,1420,1420
ENSAMXG00000000264,1844,1844,1844,1844
ENSAMXG00000000265,799,799,799,799
ENSAMXG00000000266,1677,1677,1677,1677
ENSAMXG00000000267,1764,1764,1764,1764
ENSAMXG00000000268,3489,3489,3489,3489
ENSAMXG00000000269,2421,2421,2421,2421
ENSAMXG00000000270,557,557,557,557
ENSAMXG00000000271,1794,1794,1794,1794
ENSAMXG00000000272,786,786,786,786
ENSAMXG00000000273,5539,5539,5539,5539
ENSAMXG00000000274,1908,1908,1908,1908
ENSAMXG00000000275,6534,6534,6534,6534
ENSAMXG00000000276,824,824,824,824
ENSAMXG00000000277,1609,1609,1609,1609
ENSAMXG00000000278,5498,5498,5498,5498
ENSAMXG00000000279,1357,1357,1357,1357
ENSAMXG00000000280,2093,2093,2093,2093
ENSAMXG00000000281,4688,4688,4688,4688
ENSAMXG00000000282,1126,1126,1126,1126
ENSAMXG00000000283,6150,6150,6150,6150
ENSAMXG00000000284,2824,2824,2824,2824
ENSAMXG00000000285,921,921,921,921
ENSAMXG00000000286,5294,5294,5294,5294
ENSAMXG00000000287,677,677,677,677
ENSAMXG00000000288,1976,1976,1976,1976
ENSAMXG00000000289,4002,4002,4002,4002
ENSAMXG00000000290,3127,3127,3127,3127
ENSAMXG00000000291,1925,1925,1925,1925
ENSAMXG00000000292,2724,2724,2724,2724
ENSAMXG00000000293,3844,3844,3844,3844
ENSAMXG00000000294,3768,3768,3768,3768
ENSAMXG00000000295,954,954,954,954
ENSAMXG00000000296,513,513,513,513
ENSAMXG00000000297,2234,2234,2234,2234
ENSAMXG00000000298,3654,3654,3654,3654
ENSAMXG00000000299,5558,5558,5558,5558
ENSAMXG00000000300,5756,5756,5756,5756
ENSAMXG00000000301,2490,2490,2490,2490
ENSAMXG00000000302,3029,3029,3029,3029
ENSAMXG00000000303,1710,1710,1710,1710
ENSAMXG00000000304,1205,1205,1205,1205
ENSAMXG00000000305,1573,1573,1573,1573
ENSAMXG00000000306,5348,5348,5348,5348
ENSAMXG00000000307,3019,3019,3019,3019
ENSAMXG00000000308,2844,2844,2844,2844
ENSAMXG00000000309,4131,4131,4131,4131
ENSAMXG00000000310,758,758,758,758
ENSAMXG00000000311,2233,2233,2233,2233
ENSAMXG00000000312,5375,5375,5375,5375
ENSAMXG00000000313,5412,5412,5412,5412
ENSAMXG00000000314,9141,9141,9141,9141
ENSAMXG00000000315,1829,1829,1829,1829
ENSAMXG00000000316,1235,1235,1235,1235
ENSAMXG00000000317,1614,1614,1614,1614
ENSAMXG00000000318,2238,2238,2238,2238
ENSAMXG00000000319,10725,10725,10725,10725
ENSAMXG00000000320,2263,2263,2263,2263
ENSAMXG00000000321,1022,1022,1022,1022
ENSAMXG00000000322,1529,1529,1529,1529
ENSAMXG00000000323,3577,3577,3577,3577
ENSAMXG00000000324,1818,1818,1818,1818
ENSAMXG00000000325,612,612,612,612
ENSAMXG00000000326,7291,7291,7291,7291
ENSAMXG00000000327,1738,1738,1738,1738
ENSAMXG00000000328,1783,1783,1783,1783
ENSAMXG00000000329,2525,2525,2525,2525
ENSAMXG00000000330,1405,1405,1405,1405
ENSAMXG00000000331,5415,5415,5415,5415
ENSAMXG00000000332,8512,8512,8512,8512
ENSAMXG00000000333,1953,1953,1953,1953
ENSAMXG00000000334,2103,2103,2103,2103
ENSAMXG00000000335,942,942,942,942
ENSAMXG00000000336,1892,1892,1892,1892
ENSAMXG00000000337,813,813,813,813
ENSAMXG00000000338,3031,3031,3031,3031
ENSAMXG00000000339,1065,1065,1065,1065
ENSAMXG00000000340,1499,1499,1499,1499
ENSAMXG00000000341,1074,1074,1074,1074
ENSAMXG00000000342,1086,1086,1086,1086
ENSAMXG00000000343,3495,3495,3495,3495
ENSAMXG00000000344,1077,1077,1077,1077
ENSAMXG00000000345,448,448,448,448
ENSAMXG00000000346,1848,1848,1848,1848
ENSAMXG00000000347,1321,1321,1321,1321
ENSAMXG00000000348,3979,3979,3979,3979
ENSAMXG00000000349,3330,3330,3330,3330
ENSAMXG00000000350,4255,4255,4255,4255
ENSAMXG00000000351,1505,1505,1505,1505
ENSAMXG00000000352,1260,1260,1260,1260
ENSAMXG00000000353,1089,1089,1089,1089
ENSAMXG00000000354,885,885,885,885
ENSAMXG00000000355,4545,4545,4545,4545
ENSAMXG00000000356,11933,11933,11933,11933
ENSAMXG00000000357,1048,1048,1048,1048
ENSAMXG00000000358,3717,3717,3717,3717
ENSAMXG00000000359,817,817,817,817
ENSAMXG00000000360,1566,1566,1566,1566
ENSAMXG00000000361,484,484,484,484
ENSAMXG00000000362,491,491,491,491
ENSAMXG00000000363,2920,2920,2920,2920
ENSAMXG00000000364,1260,1260,1260,1260
ENSAMXG00000000365,3591,3591,3591,3591
ENSAMXG00000000366,5155,5155,5155,5155
ENSAMXG00000000367,2694,2694,2694,2694
ENSAMXG00000000368,580,580,580,580
ENSAMXG00000000369,3229,3229,3229,3229
ENSAMXG00000000370,4663,4663,4663,4663
ENSAMXG00000000371,2599,2599,2599,2599
ENSAMXG00000000372,1446,1446,1446,1446
ENSAMXG00000000373,1408,1408,1408,1408
ENSAMXG00000000374,1956,1956,1956,1956
ENSAMXG00000000375,2741,2741,2741,2741
ENSAMXG00000000376,2314,2314,2314,2314
ENSAMXG00000000377,2379,2379,2379,2379
ENSAMXG00000000378,1777,1777,1777,1777
ENSAMXG00000000379,8855,8855,8855,8855
ENSAMXG00000000380,2392,2392,2392,2392
ENSAMXG00000000381,1750,1750,1750,1750
ENSAMXG00000000382,1054,1054,1054,1054
ENSAMXG00000000383,1693,1693,1693,1693
ENSAMXG00000000384,1167,1167,1167,1167
ENSAMXG00000000385,7858,7858,7858,7858
ENSAMXG00000000386,3225,3225,3225,3225
ENSAMXG00000000387,2934,2934,2934,2934
ENSAMXG00000000388,4599,4599,4599,4599
ENSAMXG00000000389,1982,1982,1982,1982
ENSAMXG00000000390,2740,2740,2740,2740
ENSAMXG00000000391,11688,11688,11688,11688
ENSAMXG00000000392,3327,3327,3327,3327
ENSAMXG00000000393,4011,4011,4011,4011
ENSAMXG00000000394,6358,6358,6358,6358
ENSAMXG00000000395,1374,1374,1374,1374
ENSAMXG00000000396,4010,4010,4010,4010
ENSAMXG00000000397,4029,4029,4029,4029
ENSAMXG00000000398,5616,5616,5616,5616
ENSAMXG00000000399,1056,1056,1056,1056
ENSAMXG00000000400,1244,1244,1244,1244
ENSAMXG00000000401,1034,1034,1034,1034
ENSAMXG00000000402,1895,1895,1895,1895
ENSAMXG00000000403,1900,1900,1900,1900
ENSAMXG00000000404,4476,4476,4476,4476
ENSAMXG00000000405,3563,3563,3563,3563
ENSAMXG00000000406,3592,3592,3592,3592
ENSAMXG00000000407,1879,1879,1879,1879
ENSAMXG00000000408,4652,4652,4652,4652
ENSAMXG00000000409,452,452,452,452
ENSAMXG00000000410,1148,1148,1148,1148
ENSAMXG00000000411,2953,2953,2953,2953
ENSAMXG00000000412,1398,1398,1398,1398
ENSAMXG00000000413,6902,6902,6902,6902
ENSAMXG00000000414,555,555,555,555
ENSAMXG00000000415,1754,1754,1754,1754
ENSAMXG00000000416,1215,1215,1215,1215
ENSAMXG00000000417,1997,1997,1997,1997
ENSAMXG00000000418,270,270,270,270
ENSAMXG00000000419,3408,3408,3408,3408
ENSAMXG00000000420,4755,4755,4755,4755
ENSAMXG00000000421,3210,3210,3210,3210
ENSAMXG00000000422,3749,3749,3749,3749
ENSAMXG00000000423,699,699,699,699
ENSAMXG00000000424,2336,2336,2336,2336
ENSAMXG00000000425,1034,1034,1034,1034
ENSAMXG00000000426,3423,3423,3423,3423
ENSAMXG00000000427,1441,1441,1441,1441
ENSAMXG00000000428,747,747,747,747
ENSAMXG00000000429,1852,1852,1852,1852
ENSAMXG00000000430,1043,1043,1043,1043
ENSAMXG00000000431,2394,2394,2394,2394
ENSAMXG00000000432,458,458,458,458
ENSAMXG00000000433,3913,3913,3913,3913
ENSAMXG00000000434,516,516,516,516
ENSAMXG00000000435,1558,1558,1558,1558
ENSAMXG00000000436,1010,1010,1010,1010
ENSAMXG00000000437,8728,8728,8728,8728
ENSAMXG00000000438,3671,3671,3671,3671
ENSAMXG00000000439,814,814,814,814
ENSAMXG00000000440,5966,5966,5966,5966
ENSAMXG00000000441,6962,6962,6962,6962
ENSAMXG00000000442,7744,7744,7744,7744
ENSAMXG00000000443,5175,5175,5175,5175
ENSAMXG00000000444,3838,3838,3838,3838
ENSAMXG00000000445,405,405,405,405
ENSAMXG00000000446,1528,1528,1528,1528
ENSAMXG00000000447,1431,1431,1431,1431
ENSAMXG00000000448,2123,2123,2123,2123
ENSAMXG00000000449,1182,1182,1182,1182
ENSAMXG00000000450,540,540,540,540
ENSAMXG00000000451,546,546,546,546
ENSAMXG00000000452,2218,2218,2218,2218
ENSAMXG00000000453,5196,5196,5196,5196
ENSAMXG00000000454,3242,3242,3242,3242
ENSAMXG00000000455,2141,2141,2141,2141
ENSAMXG00000000456,567,567,567,567
ENSAMXG00000000457,1047,1047,1047,1047
ENSAMXG00000000458,2742,2742,2742,2742
ENSAMXG00000000459,5053,5053,5053,5053
ENSAMXG00000000460,2310,2310,2310,2310
ENSAMXG00000000461,5313,5313,5313,5313
ENSAMXG00000000462,3296,3296,3296,3296
ENSAMXG00000000463,567,567,567,567
ENSAMXG00000000464,5564,5564,5564,5564
ENSAMXG00000000465,1106,1106,1106,1106
ENSAMXG00000000466,836,836,836,836
ENSAMXG00000000467,2592,2592,2592,2592
ENSAMXG00000000468,1101,1101,1101,1101
ENSAMXG00000000469,2879,2879,2879,2879
ENSAMXG00000000470,2190,2190,2190,2190
ENSAMXG00000000471,1921,1921,1921,1921
ENSAMXG00000000472,3862,3862,3862,3862
ENSAMXG00000000473,471,471,471,471
ENSAMXG00000000474,4324,4324,4324,4324
ENSAMXG00000000475,3574,3574,3574,3574
ENSAMXG00000000476,3364,3364,3364,3364
ENSAMXG00000000477,1626,1626,1626,1626
ENSAMXG00000000478,1114,1114,1114,1114
ENSAMXG00000000479,3908,3780,4042,4099
ENSAMXG00000000480,3650,3650,3650,3650
ENSAMXG00000000481,1566,1566,1566,1566
ENSAMXG00000000482,669,669,669,669
ENSAMXG00000000483,2982,2982,2982,2982
ENSAMXG00000000484,828,828,828,828
ENSAMXG00000000485,2086,2086,2086,2086
ENSAMXG00000000486,475,475,475,475
ENSAMXG00000000487,2269,2269,2269,2269
ENSAMXG00000000488,2155,2155,2155,2155
ENSAMXG00000000489,3279,3279,3279,3279
ENSAMXG00000000490,3504,3504,3504,3504
ENSAMXG00000000491,4800,4800,4800,4800
ENSAMXG00000000492,4375,4375,4375,4375
ENSAMXG00000000493,1495,1495,1495,1495
ENSAMXG00000000494,2065,2065,2065,2065
ENSAMXG00000000495,7360,7360,7360,7360
ENSAMXG00000000496,862,862,862,862
ENSAMXG00000000497,1137,1137,1137,1137
ENSAMXG00000000498,2591,2591,2591,2591
ENSAMXG00000000499,2824,2824,2824,2824
ENSAMXG00000000500,1121,1121,1121,1121
ENSAMXG00000000501,603,603,603,603
ENSAMXG00000000502,2653,2653,2653,2653
ENSAMXG00000000503,5487,5487,5487,5487
ENSAMXG00000000504,1820,1820,1820,1820
ENSAMXG00000000505,3181,3181,3181,3181
ENSAMXG00000000506,27676,27676,27676,27676
ENSAMXG00000000507,2441,2441,2441,2441
ENSAMXG00000000508,2312,2312,2312,2312
ENSAMXG00000000509,3180,3180,3180,3180
ENSAMXG00000000510,2468,2468,2468,2468
ENSAMXG00000000511,8557,8557,8557,8557
ENSAMXG00000000512,1245,1245,1245,1245
ENSAMXG00000000513,4201,4201,4201,4201
ENSAMXG00000000514,1245,1245,1245,1245
ENSAMXG00000000515,2208,2208,2208,2208
ENSAMXG00000000516,3047,3047,3047,3047
ENSAMXG00000000517,2914,2914,2914,2914
ENSAMXG00000000518,4825,4825,4825,4825
ENSAMXG00000000519,1475,1475,1475,1475
ENSAMXG00000000520,3922,3922,3922,3922
ENSAMXG00000000521,1833,1833,1833,1833
ENSAMXG00000000522,1017,1017,1017,1017
ENSAMXG00000000523,1587,1587,1587,1587
ENSAMXG00000000524,6060,6060,6060,6060
ENSAMXG00000000525,4778,4778,4778,4778
ENSAMXG00000000526,1705,1481,1949,1949
ENSAMXG00000000527,1547,1547,1547,1547
ENSAMXG00000000528,4739,4739,4739,4739
ENSAMXG00000000529,1688,1688,1688,1688
ENSAMXG00000000530,1497,1497,1497,1497
ENSAMXG00000000531,4969,4969,4969,4969
ENSAMXG00000000532,507,507,507,507
ENSAMXG00000000533,807,807,807,807
ENSAMXG00000000534,1732,1809,1809,1840
ENSAMXG00000000535,1164,1164,1164,1164
ENSAMXG00000000536,3123,3123,3123,3123
ENSAMXG00000000537,5240,5240,5240,5240
ENSAMXG00000000538,3270,3270,3270,3270
ENSAMXG00000000539,968,968,968,968
ENSAMXG00000000540,5521,5521,5521,5521
ENSAMXG00000000541,2758,2758,2758,2758
ENSAMXG00000000542,3784,3784,3784,3784
ENSAMXG00000000543,2184,2184,2184,2184
ENSAMXG00000000544,4461,4461,4461,4461
ENSAMXG00000000545,2804,2804,2804,2804
ENSAMXG00000000546,2277,2277,2277,2277
ENSAMXG00000000547,2896,2896,2896,2896
ENSAMXG00000000548,4490,4517,4517,4517
ENSAMXG00000000549,4986,4986,4986,4986
ENSAMXG00000000550,3877,3877,3877,3877
ENSAMXG00000000551,2459,2459,2459,2459
ENSAMXG00000000552,1616,1616,1616,1616
ENSAMXG00000000553,5299,5299,5299,5299
ENSAMXG00000000554,5619,5619,5619,5619
ENSAMXG00000000555,8351,8351,8351,8351
ENSAMXG00000000556,1518,1518,1518,1518
ENSAMXG00000000557,6445,6445,6684,6858
ENSAMXG00000000558,440,440,440,440
ENSAMXG00000000559,5369,5369,5369,5369
ENSAMXG00000000560,7227,7227,7227,7227
ENSAMXG00000000561,2280,2280,2280,2280
ENSAMXG00000000562,4884,4884,4884,4884
ENSAMXG00000000563,3329,3329,3329,3329
ENSAMXG00000000564,3374,3374,3374,3374
ENSAMXG00000000565,6177,6177,6177,6177
ENSAMXG00000000566,3366,3366,3366,3366
ENSAMXG00000000567,2785,2785,2785,2785
ENSAMXG00000000568,3625,3625,3625,3625
ENSAMXG00000000569,1599,1599,1599,1599
ENSAMXG00000000570,818,818,818,818
ENSAMXG00000000571,1263,1263,1263,1263
ENSAMXG00000000572,1425,1425,1425,1425
ENSAMXG00000000573,4272,4272,4272,4272
ENSAMXG00000000574,2670,2670,2670,2670
ENSAMXG00000000575,1399,1399,1399,1399
ENSAMXG00000000576,2622,2622,2622,2622
ENSAMXG00000000577,4563,4563,4563,4563
ENSAMXG00000000578,1284,1284,1284,1284
ENSAMXG00000000579,3790,3790,3790,3790
ENSAMXG00000000580,3609,3609,3609,3609
ENSAMXG00000000581,5418,5418,5418,5418
ENSAMXG00000000582,2112,2112,2112,2112
ENSAMXG00000000583,5248,5248,5248,5248
ENSAMXG00000000584,4100,4100,4100,4100
ENSAMXG00000000585,6788,6788,6788,6788
ENSAMXG00000000586,5068,5068,5068,5068
ENSAMXG00000000587,2940,2940,2940,2940
ENSAMXG00000000588,4125,4125,4125,4125
ENSAMXG00000000589,2715,2715,2715,2715
ENSAMXG00000000590,6577,6577,6577,6577
ENSAMXG00000000591,732,732,732,732
ENSAMXG00000000592,2262,2262,2262,2262
ENSAMXG00000000593,2332,2332,2332,2332
ENSAMXG00000000594,3701,3701,3701,3701
ENSAMXG00000000595,522,522,522,522
ENSAMXG00000000596,1261,1261,1261,1261
