gene_id,exon_number
ENSAMXG00000000151,16
ENSAMXG00000000152,10
ENSAMXG00000000153,2
ENSAMXG00000000154,58
ENSAMXG00000000155,41
ENSAMXG00000000156,8
ENSAMXG00000000157,5
ENSAMXG00000000158,12
ENSAMXG00000000159,34
ENSAMXG00000000160,6
ENSAMXG00000000161,14
ENSAMXG00000000162,8
ENSAMXG00000000163,11
ENSAMXG00000000164,4
ENSAMXG00000000165,19
ENSAMXG00000000166,3
ENSAMXG00000000167,9
ENSAMXG00000000168,2
ENSAMXG00000000169,3
ENSAMXG00000000170,2
ENSAMXG00000000171,9
ENSAMXG00000000172,18
ENSAMXG00000000173,10
ENSAMXG00000000174,7
ENSAMXG00000000175,4
ENSAMXG00000000176,18
ENSAMXG00000000177,2
ENSAMXG00000000178,6
ENSAMXG00000000179,49
ENSAMXG00000000180,29
ENSAMXG00000000181,5
ENSAMXG00000000182,5
ENSAMXG00000000183,4
ENSAMXG00000000184,13
ENSAMXG00000000185,7
ENSAMXG00000000186,9
ENSAMXG00000000187,41
ENSAMXG00000000188,24
ENSAMXG00000000189,14
ENSAMXG00000000190,14
ENSAMXG00000000191,6
ENSAMXG00000000192,6
ENSAMXG00000000193,15
ENSAMXG00000000194,9
ENSAMXG00000000195,10
ENSAMXG00000000196,2
ENSAMXG00000000197,13
ENSAMXG00000000198,16
ENSAMXG00000000199,10
ENSAMXG00000000200,4
ENSAMXG00000000201,2
ENSAMXG00000000202,8
ENSAMXG00000000203,13
ENSAMXG00000000204,11
ENSAMXG00000000205,8
ENSAMXG00000000206,7
ENSAMXG00000000207,53
ENSAMXG00000000208,9
ENSAMXG00000000209,5
ENSAMXG00000000210,11
ENSAMXG00000000211,17
ENSAMXG00000000212,2
ENSAMXG00000000213,48
ENSAMXG00000000214,3
ENSAMXG00000000215,20
ENSAMXG00000000216,9
ENSAMXG00000000217,12
ENSAMXG00000000218,3
ENSAMXG00000000219,5
ENSAMXG00000000220,18
ENSAMXG00000000221,16
ENSAMXG00000000222,2
ENSAMXG00000000223,3
ENSAMXG00000000224,3
ENSAMXG00000000225,6
ENSAMXG00000000226,6
ENSAMXG00000000227,3
ENSAMXG00000000228,6
ENSAMXG00000000229,7
ENSAMXG00000000230,9
ENSAMXG00000000231,5
ENSAMXG00000000232,4
ENSAMXG00000000233,13
ENSAMXG00000000234,18
ENSAMXG00000000235,11
ENSAMXG00000000236,3
ENSAMXG00000000237,23
ENSAMXG00000000238,2
ENSAMXG00000000239,23
ENSAMXG00000000240,8
ENSAMXG00000000241,9
ENSAMXG00000000242,5
ENSAMXG00000000243,16
ENSAMXG00000000244,3
ENSAMXG00000000245,5
ENSAMXG00000000246,2
ENSAMXG00000000247,29
ENSAMXG00000000248,3
ENSAMXG00000000249,2
ENSAMXG00000000250,2
ENSAMXG00000000251,3
ENSAMXG00000000252,14
ENSAMXG00000000253,26
ENSAMXG00000000254,12
ENSAMXG00000000255,5
ENSAMXG00000000256,12
ENSAMXG00000000257,12
ENSAMXG00000000258,3
ENSAMXG00000000259,2
ENSAMXG00000000260,3
ENSAMXG00000000261,2
ENSAMXG00000000262,5
ENSAMXG00000000263,5
ENSAMXG00000000264,4
ENSAMXG00000000265,2
ENSAMXG00000000266,2
ENSAMXG00000000267,14
ENSAMXG00000000268,33
ENSAMXG00000000269,6
ENSAMXG00000000270,4
ENSAMXG00000000271,9
ENSAMXG00000000272,6
ENSAMXG00000000273,26
ENSAMXG00000000274,9
ENSAMXG00000000275,2
ENSAMXG00000000276,4
ENSAMXG00000000277,6
ENSAMXG00000000278,5
ENSAMXG00000000279,6
ENSAMXG00000000280,4
ENSAMXG00000000281,11
ENSAMXG00000000282,6
ENSAMXG00000000283,20
ENSAMXG00000000284,5
ENSAMXG00000000285,9
ENSAMXG00000000286,14
ENSAMXG00000000287,3
ENSAMXG00000000288,14
ENSAMXG00000000289,34
ENSAMXG00000000290,24
ENSAMXG00000000291,9
ENSAMXG00000000292,6
ENSAMXG00000000293,5
ENSAMXG00000000294,10
ENSAMXG00000000295,11
ENSAMXG00000000296,4
ENSAMXG00000000297,8
ENSAMXG00000000298,18
ENSAMXG00000000299,12
ENSAMXG00000000300,27
ENSAMXG00000000301,15
ENSAMXG00000000302,2
ENSAMXG00000000303,14
ENSAMXG00000000304,5
ENSAMXG00000000305,3
ENSAMXG00000000306,6
ENSAMXG00000000307,18
ENSAMXG00000000308,6
ENSAMXG00000000309,2
ENSAMXG00000000310,4
ENSAMXG00000000311,5
ENSAMXG00000000312,19
ENSAMXG00000000313,10
ENSAMXG00000000314,24
ENSAMXG00000000315,8
ENSAMXG00000000316,11
ENSAMXG00000000317,8
ENSAMXG00000000318,14
ENSAMXG00000000319,31
ENSAMXG00000000320,8
ENSAMXG00000000321,4
ENSAMXG00000000322,9
ENSAMXG00000000323,7
ENSAMXG00000000324,7
ENSAMXG00000000325,6
ENSAMXG00000000326,27
ENSAMXG00000000327,7
ENSAMXG00000000328,3
ENSAMXG00000000329,10
ENSAMXG00000000330,13
ENSAMXG00000000331,2
ENSAMXG00000000332,17
ENSAMXG00000000333,3
ENSAMXG00000000334,16
ENSAMXG00000000335,2
ENSAMXG00000000336,12
ENSAMXG00000000337,2
ENSAMXG00000000338,13
ENSAMXG00000000339,2
ENSAMXG00000000340,6
ENSAMXG00000000341,3
ENSAMXG00000000342,3
ENSAMXG00000000343,4
ENSAMXG00000000344,5
ENSAMXG00000000345,2
ENSAMXG00000000346,2
ENSAMXG00000000347,5
ENSAMXG00000000348,13
ENSAMXG00000000349,4
ENSAMXG00000000350,30
ENSAMXG00000000351,10
ENSAMXG00000000352,2
ENSAMXG00000000353,4
ENSAMXG00000000354,11
ENSAMXG00000000355,36
ENSAMXG00000000356,54
ENSAMXG00000000357,10
ENSAMXG00000000358,19
ENSAMXG00000000359,4
ENSAMXG00000000360,3
ENSAMXG00000000361,3
ENSAMXG00000000362,3
ENSAMXG00000000363,10
ENSAMXG00000000364,5
ENSAMXG00000000365,6
ENSAMXG00000000366,6
ENSAMXG00000000367,2
ENSAMXG00000000368,2
ENSAMXG00000000369,2
ENSAMXG00000000370,29
ENSAMXG00000000371,13
ENSAMXG00000000372,2
ENSAMXG00000000373,3
ENSAMXG00000000374,2
ENSAMXG00000000375,3
ENSAMXG00000000376,5
ENSAMXG00000000377,11
ENSAMXG00000000378,17
ENSAMXG00000000379,24
ENSAMXG00000000380,4
ENSAMXG00000000381,15
ENSAMXG00000000382,3
ENSAMXG00000000383,5
ENSAMXG00000000384,7
ENSAMXG00000000385,23
ENSAMXG00000000386,28
ENSAMXG00000000387,19
ENSAMXG00000000388,23
ENSAMXG00000000389,6
ENSAMXG00000000390,27
ENSAMXG00000000391,66
ENSAMXG00000000392,12
ENSAMXG00000000393,22
ENSAMXG00000000394,27
ENSAMXG00000000395,8
ENSAMXG00000000396,4
ENSAMXG00000000397,9
ENSAMXG00000000398,19
ENSAMXG00000000399,5
ENSAMXG00000000400,4
ENSAMXG00000000401,3
ENSAMXG00000000402,12
ENSAMXG00000000403,9
ENSAMXG00000000404,10
ENSAMXG00000000405,14
ENSAMXG00000000406,3
ENSAMXG00000000407,7
ENSAMXG00000000408,21
ENSAMXG00000000409,4
ENSAMXG00000000410,5
ENSAMXG00000000411,9
ENSAMXG00000000412,9
ENSAMXG00000000413,12
ENSAMXG00000000414,2
ENSAMXG00000000415,3
ENSAMXG00000000416,7
ENSAMXG00000000417,5
ENSAMXG00000000418,3
ENSAMXG00000000419,12
ENSAMXG00000000420,27
ENSAMXG00000000421,27
ENSAMXG00000000422,9
ENSAMXG00000000423,4
ENSAMXG00000000424,5
ENSAMXG00000000425,4
ENSAMXG00000000426,11
ENSAMXG00000000427,4
ENSAMXG00000000428,3
ENSAMXG00000000429,5
ENSAMXG00000000430,4
ENSAMXG00000000431,6
ENSAMXG00000000432,4
ENSAMXG00000000433,2
ENSAMXG00000000434,2
ENSAMXG00000000435,4
ENSAMXG00000000436,7
ENSAMXG00000000437,26
ENSAMXG00000000438,6
ENSAMXG00000000439,3
ENSAMXG00000000440,19
ENSAMXG00000000441,6
ENSAMXG00000000442,61
ENSAMXG00000000443,10
ENSAMXG00000000444,6
ENSAMXG00000000445,5
ENSAMXG00000000446,7
ENSAMXG00000000447,13
ENSAMXG00000000448,4
ENSAMXG00000000449,3
ENSAMXG00000000450,6
ENSAMXG00000000451,2
ENSAMXG00000000452,7
ENSAMXG00000000453,6
ENSAMXG00000000454,7
ENSAMXG00000000455,16
ENSAMXG00000000456,7
ENSAMXG00000000457,5
ENSAMXG00000000458,16
ENSAMXG00000000459,7
ENSAMXG00000000460,15
ENSAMXG00000000461,38
ENSAMXG00000000462,6
ENSAMXG00000000463,6
ENSAMXG00000000464,6
ENSAMXG00000000465,10
ENSAMXG00000000466,5
ENSAMXG00000000467,9
ENSAMXG00000000468,4
ENSAMXG00000000469,3
ENSAMXG00000000470,7
ENSAMXG00000000471,4
ENSAMXG00000000472,31
ENSAMXG00000000473,2
ENSAMXG00000000474,3
ENSAMXG00000000475,31
ENSAMXG00000000476,3
ENSAMXG00000000477,12
ENSAMXG00000000478,7
ENSAMXG00000000479,27
ENSAMXG00000000480,21
ENSAMXG00000000481,2
ENSAMXG00000000482,3
ENSAMXG00000000483,11
ENSAMXG00000000484,2
ENSAMXG00000000485,10
ENSAMXG00000000486,5
ENSAMXG00000000487,3
ENSAMXG00000000488,10
ENSAMXG00000000489,14
ENSAMXG00000000490,16
ENSAMXG00000000491,41
ENSAMXG00000000492,17
ENSAMXG00000000493,15
ENSAMXG00000000494,6
ENSAMXG00000000495,18
ENSAMXG00000000496,3
ENSAMXG00000000497,8
ENSAMXG00000000498,16
ENSAMXG00000000499,11
ENSAMXG00000000500,3
ENSAMXG00000000501,2
ENSAMXG00000000502,25
ENSAMXG00000000503,16
ENSAMXG00000000504,6
ENSAMXG00000000505,3
ENSAMXG00000000506,146
ENSAMXG00000000507,15
ENSAMXG00000000508,12
ENSAMXG00000000509,23
ENSAMXG00000000510,10
ENSAMXG00000000511,22
ENSAMXG00000000512,8
ENSAMXG00000000513,8
ENSAMXG00000000514,11
ENSAMXG00000000515,6
ENSAMXG00000000516,11
ENSAMXG00000000517,19
ENSAMXG00000000518,4
ENSAMXG00000000519,11
ENSAMXG00000000520,7
ENSAMXG00000000521,2
ENSAMXG00000000522,4
ENSAMXG00000000523,6
ENSAMXG00000000524,8
ENSAMXG00000000525,11
ENSAMXG00000000526,12
ENSAMXG00000000527,6
ENSAMXG00000000528,22
ENSAMXG00000000529,6
ENSAMXG00000000530,4
ENSAMXG00000000531,7
ENSAMXG00000000532,4
ENSAMXG00000000533,2
ENSAMXG00000000534,14
ENSAMXG00000000535,3
ENSAMXG00000000536,31
ENSAMXG00000000537,3
ENSAMXG00000000538,8
ENSAMXG00000000539,8
ENSAMXG00000000540,3
ENSAMXG00000000541,19
ENSAMXG00000000542,15
ENSAMXG00000000543,18
ENSAMXG00000000544,27
ENSAMXG00000000545,5
ENSAMXG00000000546,2
ENSAMXG00000000547,21
ENSAMXG00000000548,24
ENSAMXG00000000549,30
ENSAMXG00000000550,13
ENSAMXG00000000551,10
ENSAMXG00000000552,3
ENSAMXG00000000553,12
ENSAMXG00000000554,23
ENSAMXG00000000555,9
ENSAMXG00000000556,11
ENSAMXG00000000557,32
ENSAMXG00000000558,4
ENSAMXG00000000559,3
ENSAMXG00000000560,29
ENSAMXG00000000561,8
ENSAMXG00000000562,23
ENSAMXG00000000563,17
ENSAMXG00000000564,22
ENSAMXG00000000565,6
ENSAMXG00000000566,25
ENSAMXG00000000567,12
ENSAMXG00000000568,28
ENSAMXG00000000569,12
ENSAMXG00000000570,2
ENSAMXG00000000571,3
ENSAMXG00000000572,7
ENSAMXG00000000573,5
ENSAMXG00000000574,21
ENSAMXG00000000575,6
ENSAMXG00000000576,21
ENSAMXG00000000577,17
ENSAMXG00000000578,9
ENSAMXG00000000579,13
ENSAMXG00000000580,8
ENSAMXG00000000581,19
ENSAMXG00000000582,17
ENSAMXG00000000583,13
ENSAMXG00000000584,5
ENSAMXG00000000585,5
ENSAMXG00000000586,8
ENSAMXG00000000587,10
ENSAMXG00000000588,4
ENSAMXG00000000589,12
ENSAMXG00000000590,28
ENSAMXG00000000591,5
ENSAMXG00000000592,9
ENSAMXG00000000593,10
ENSAMXG00000000594,2
ENSAMXG00000000595,5
ENSAMXG00000000596,2
ENSAMXG00000000597,3
ENSAMXG00000000598,14
ENSAMXG00000000599,13
ENSAMXG00000000600,6
ENSAMXG00000000601,5
ENSAMXG00000000602,4
ENSAMXG00000000603,47
ENSAMXG00000000604,5
ENSAMXG00000000605,16
ENSAMXG00000000606,11
ENSAMXG00000000607,4
ENSAMXG00000000608,13
ENSAMXG00000000609,3
ENSAMXG00000000610,6
ENSAMXG00000000611,2
ENSAMXG00000000612,53
ENSAMXG00000000613,3
ENSAMXG00000000614,3
ENSAMXG00000000615,43
ENSAMXG00000000616,2
ENSAMXG00000000617,2
ENSAMXG00000000618,2
ENSAMXG00000000619,28
ENSAMXG00000000620,8
ENSAMXG00000000621,2
ENSAMXG00000000622,8
ENSAMXG00000000623,12
ENSAMXG00000000624,6
ENSAMXG00000000625,18
ENSAMXG00000000626,2
ENSAMXG00000000627,5
ENSAMXG00000000628,5
ENSAMXG00000000629,9
ENSAMXG00000000630,13
ENSAMXG00000000631,4
ENSAMXG00000000632,10
ENSAMXG00000000633,27
ENSAMXG00000000634,9
ENSAMXG00000000635,2
ENSAMXG00000000636,4
ENSAMXG00000000637,17
ENSAMXG00000000638,22
ENSAMXG00000000639,8
ENSAMXG00000000640,32
ENSAMXG00000000641,28
ENSAMXG00000000642,3
ENSAMXG00000000643,16
ENSAMXG00000000644,16
ENSAMXG00000000645,23
ENSAMXG00000000646,5
ENSAMXG00000000647,3
ENSAMXG00000000648,3
ENSAMXG00000000649,4
ENSAMXG00000000650,7
ENSAMXG00000000651,21
ENSAMXG00000000652,2
ENSAMXG00000000653,18
ENSAMXG00000000654,4
ENSAMXG00000000655,2
ENSAMXG00000000656,7
ENSAMXG00000000657,4
ENSAMXG00000000658,23
ENSAMXG00000000659,5
ENSAMXG00000000660,3
ENSAMXG00000000661,13
ENSAMXG00000000662,21
ENSAMXG00000000663,4
ENSAMXG00000000664,5
ENSAMXG00000000665,2
ENSAMXG00000000666,18
ENSAMXG00000000667,7
ENSAMXG00000000668,15
ENSAMXG00000000669,22
ENSAMXG00000000670,9
ENSAMXG00000000671,5
ENSAMXG00000000672,10
ENSAMXG00000000673,23
ENSAMXG00000000674,2
ENSAMXG00000000675,17
ENSAMXG00000000676,2
ENSAMXG00000000677,2
ENSAMXG00000000678,2
ENSAMXG00000000679,2
ENSAMXG00000000680,11
ENSAMXG00000000681,10
ENSAMXG00000000682,3
ENSAMXG00000000683,9
ENSAMXG00000000684,32
ENSAMXG00000000685,2
ENSAMXG00000000686,30
ENSAMXG00000000687,5
ENSAMXG00000000688,11
ENSAMXG00000000689,8
ENSAMXG00000000690,4
ENSAMXG00000000691,7
ENSAMXG00000000692,58
ENSAMXG00000000693,3
ENSAMXG00000000694,10
ENSAMXG00000000695,5
ENSAMXG00000000696,13
ENSAMXG00000000697,8
ENSAMXG00000000698,12
ENSAMXG00000000699,4
ENSAMXG00000000700,5
ENSAMXG00000000701,4
ENSAMXG00000000702,7
ENSAMXG00000000703,9
ENSAMXG00000000704,8
ENSAMXG00000000705,17
ENSAMXG00000000706,21
ENSAMXG00000000707,8
ENSAMXG00000000708,2
ENSAMXG00000000709,13
ENSAMXG00000000710,8
ENSAMXG00000000711,3
ENSAMXG00000000712,2
ENSAMXG00000000713,2
ENSAMXG00000000714,7
ENSAMXG00000000715,6
ENSAMXG00000000716,6
ENSAMXG00000000717,4
ENSAMXG00000000718,6
ENSAMXG00000000719,13
ENSAMXG00000000720,3
ENSAMXG00000000721,9
ENSAMXG00000000722,2
ENSAMXG00000000723,21
ENSAMXG00000000724,3
ENSAMXG00000000725,6
ENSAMXG00000000726,2
ENSAMXG00000000727,7
ENSAMXG00000000728,6
ENSAMXG00000000729,3
ENSAMXG00000000730,11
ENSAMXG00000000731,16
ENSAMXG00000000732,4
ENSAMXG00000000733,3
ENSAMXG00000000734,2
ENSAMXG00000000735,18
ENSAMXG00000000736,13
ENSAMXG00000000737,2
ENSAMXG00000000738,8
ENSAMXG00000000739,16
ENSAMXG00000000740,5
ENSAMXG00000000741,10
ENSAMXG00000000742,5
ENSAMXG00000000743,6
ENSAMXG00000000744,18
ENSAMXG00000000745,21
ENSAMXG00000000746,2
ENSAMXG00000000747,13
ENSAMXG00000000748,22
ENSAMXG00000000749,4
ENSAMXG00000000750,5
ENSAMXG00000000751,3
ENSAMXG00000000752,18
ENSAMXG00000000753,5
ENSAMXG00000000754,3
ENSAMXG00000000755,7
ENSAMXG00000000756,29
ENSAMXG00000000757,8
ENSAMXG00000000758,12
ENSAMXG00000000759,52
ENSAMXG00000000760,6
ENSAMXG00000000761,3
ENSAMXG00000000762,2
ENSAMXG00000000763,24
ENSAMXG00000000764,9
ENSAMXG00000000765,7
ENSAMXG00000000766,4
ENSAMXG00000000767,4
ENSAMXG00000000768,2
ENSAMXG00000000769,4
ENSAMXG00000000770,2
ENSAMXG00000000771,4
ENSAMXG00000000772,5
ENSAMXG00000000773,7
ENSAMXG00000000774,16
ENSAMXG00000000775,24
ENSAMXG00000000776,2
ENSAMXG00000000777,9
ENSAMXG00000000778,4
ENSAMXG00000000779,4
ENSAMXG00000000780,22
ENSAMXG00000000781,4
ENSAMXG00000000782,3
ENSAMXG00000000783,21
ENSAMXG00000000784,6
ENSAMXG00000000785,13
ENSAMXG00000000786,18
ENSAMXG00000000787,14
ENSAMXG00000000788,10
ENSAMXG00000000789,26
ENSAMXG00000000790,2
ENSAMXG00000000791,5
ENSAMXG00000000792,14
ENSAMXG00000000793,10
ENSAMXG00000000794,12
ENSAMXG00000000795,3
ENSAMXG00000000796,21
ENSAMXG00000000797,4
ENSAMXG00000000798,31
ENSAMXG00000000799,19
ENSAMXG00000000800,6
ENSAMXG00000000801,15
ENSAMXG00000000802,3
ENSAMXG00000000803,35
ENSAMXG00000000804,16
ENSAMXG00000000805,6
ENSAMXG00000000806,9
ENSAMXG00000000807,2
ENSAMXG00000000808,10
ENSAMXG00000000809,7
ENSAMXG00000000810,5
ENSAMXG00000000811,5
ENSAMXG00000000812,2
ENSAMXG00000000813,7
ENSAMXG00000000814,7
ENSAMXG00000000815,6
ENSAMXG00000000816,40
ENSAMXG00000000817,19
ENSAMXG00000000818,3
ENSAMXG00000000819,14
ENSAMXG00000000820,4
ENSAMXG00000000821,15
ENSAMXG00000000822,16
ENSAMXG00000000823,3
ENSAMXG00000000824,28
ENSAMXG00000000825,11
ENSAMXG00000000826,24
ENSAMXG00000000827,2
ENSAMXG00000000828,9
ENSAMXG00000000829,27
ENSAMXG00000000830,10
ENSAMXG00000000831,5
ENSAMXG00000000832,5
ENSAMXG00000000833,4
ENSAMXG00000000834,4
ENSAMXG00000000835,35
ENSAMXG00000000836,6
ENSAMXG00000000837,2
ENSAMXG00000000838,5
ENSAMXG00000000839,4
ENSAMXG00000000840,5
ENSAMXG00000000841,12
ENSAMXG00000000842,11
ENSAMXG00000000843,7
ENSAMXG00000000844,4
ENSAMXG00000000845,8
ENSAMXG00000000846,41
ENSAMXG00000000847,2
ENSAMXG00000000848,2
ENSAMXG00000000849,8
ENSAMXG00000000850,5
ENSAMXG00000000851,27
ENSAMXG00000000852,8
ENSAMXG00000000853,8
ENSAMXG00000000854,9
ENSAMXG00000000855,6
ENSAMXG00000000856,13
ENSAMXG00000000857,15
ENSAMXG00000000858,5
ENSAMXG00000000859,19
ENSAMXG00000000860,2
ENSAMXG00000000861,5
ENSAMXG00000000862,11
ENSAMXG00000000863,70
ENSAMXG00000000864,9
ENSAMXG00000000865,6
ENSAMXG00000000866,14
ENSAMXG00000000867,4
ENSAMXG00000000868,7
ENSAMXG00000000869,2
ENSAMXG00000000870,6
ENSAMXG00000000871,14
ENSAMXG00000000872,9
ENSAMXG00000000873,11
ENSAMXG00000000874,18
ENSAMXG00000000875,3
ENSAMXG00000000876,10
ENSAMXG00000000877,2
ENSAMXG00000000878,4
ENSAMXG00000000879,6
ENSAMXG00000000880,2
ENSAMXG00000000881,10
ENSAMXG00000000882,9
ENSAMXG00000000883,10
ENSAMXG00000000884,12
ENSAMXG00000000885,2
ENSAMXG00000000886,2
ENSAMXG00000000887,6
ENSAMXG00000000888,36
ENSAMXG00000000889,3
ENSAMXG00000000890,10
ENSAMXG00000000891,15
ENSAMXG00000000892,11
ENSAMXG00000000893,6
ENSAMXG00000000894,17
ENSAMXG00000000895,2
ENSAMXG00000000896,4
ENSAMXG00000000897,4
ENSAMXG00000000898,10
ENSAMXG00000000899,4
ENSAMXG00000000900,18
ENSAMXG00000000901,10
ENSAMXG00000000902,5
ENSAMXG00000000903,4
ENSAMXG00000000904,15
ENSAMXG00000000905,25
ENSAMXG00000000906,17
ENSAMXG00000000907,13
ENSAMXG00000000908,4
ENSAMXG00000000909,7
ENSAMXG00000000910,3
ENSAMXG00000000911,28
ENSAMXG00000000912,9
ENSAMXG00000000913,18
ENSAMXG00000000914,14
ENSAMXG00000000915,4
ENSAMXG00000000916,24
ENSAMXG00000000917,24
ENSAMXG00000000918,11
ENSAMXG00000000919,18
ENSAMXG00000000920,12
ENSAMXG00000000921,3
ENSAMXG00000000922,5
ENSAMXG00000000923,28
ENSAMXG00000000924,2
ENSAMXG00000000925,2
ENSAMXG00000000926,17
ENSAMXG00000000927,24
ENSAMXG00000000928,12
ENSAMXG00000000929,18
ENSAMXG00000000930,2
ENSAMXG00000000931,19
ENSAMXG00000000932,3
ENSAMXG00000000933,7
ENSAMXG00000000934,40
ENSAMXG00000000935,6
ENSAMXG00000000936,9
ENSAMXG00000000937,6
ENSAMXG00000000938,23
ENSAMXG00000000939,3
ENSAMXG00000000940,4
ENSAMXG00000000941,5
ENSAMXG00000000942,2
ENSAMXG00000000943,2
ENSAMXG00000000944,21
ENSAMXG00000000945,80
ENSAMXG00000000946,4
ENSAMXG00000000947,3
ENSAMXG00000000948,6
ENSAMXG00000000949,20
ENSAMXG00000000950,6
ENSAMXG00000000951,20
ENSAMXG00000000952,9
ENSAMXG00000000953,6
ENSAMXG00000000954,9
ENSAMXG00000000955,16
ENSAMXG00000000956,4
ENSAMXG00000000957,6
ENSAMXG00000000958,24
ENSAMXG00000000959,9
ENSAMXG00000000960,5
ENSAMXG00000000961,18
ENSAMXG00000000962,24
ENSAMXG00000000963,3
ENSAMXG00000000964,5
ENSAMXG00000000965,18
ENSAMXG00000000966,4
ENSAMXG00000000967,17
ENSAMXG00000000968,9
ENSAMXG00000000969,2
ENSAMXG00000000970,2
ENSAMXG00000000971,21
ENSAMXG00000000972,15
ENSAMXG00000000973,11
ENSAMXG00000000974,4
ENSAMXG00000000975,2
ENSAMXG00000000976,4
ENSAMXG00000000977,2
ENSAMXG00000000978,2
ENSAMXG00000000979,55
ENSAMXG00000000980,8
ENSAMXG00000000981,4
ENSAMXG00000000982,30
ENSAMXG00000000983,32
ENSAMXG00000000984,19
ENSAMXG00000000985,14
ENSAMXG00000000986,19
ENSAMXG00000000987,17
ENSAMXG00000000988,2
ENSAMXG00000000989,8
ENSAMXG00000000990,4
ENSAMXG00000000991,14
ENSAMXG00000000992,5
ENSAMXG00000000993,4
ENSAMXG00000000994,4
ENSAMXG00000000995,3
ENSAMXG00000000996,6
ENSAMXG00000000997,10
ENSAMXG00000000998,3
